function,T0,sigma,J,X,lambda_min,trace_M_zeros,trace_M_arith,trace_residual,trace_residual_rel,n_zeros_used,runtime_s,abs_lambda_min,lambda_over_tr
Lchi,46.13,1.0,8,50000000,-3.6598251428027624e-14,4.439459189838324,4.439459189838499,-1.7497114868092467e-13,3.9412716999724633e-14,33,0.0011472702026367188,3.6598251428027624e-14,8.243853555811256e-15
Lchi,46.13,1.0,12,50000000,-4.2787924381048905e-14,6.557401120660579,6.5574011206608285,-2.495781359357352e-13,3.806052601378657e-14,33,0.0012836456298828125,4.2787924381048905e-14,6.52513451498885e-15
Lchi,46.13,1.0,16,50000000,-5.613743267601368e-14,8.962534771880698,8.96253477188104,-3.4283687000424834e-13,3.8252222025388856e-14,33,0.00141143798828125,5.613743267601368e-14,6.263566513810446e-15
Lchi,46.13,1.0,20,50000000,-1.7936515945464853e-12,12.036089977028011,12.03608997702759,4.2099657093785936e-13,3.497785175595814e-14,33,0.0017933845520019531,1.7936515945464853e-12,1.4902278048517708e-13
Lchi,46.13,1.0,24,50000000,-1.6317291439310948e-09,14.027858336861696,14.02785833633191,5.297859928532489e-10,3.776670537519645e-11,33,0.0017719268798828125,1.6317291439310948e-09,1.1632061749891782e-10
Lchi,46.13,1.0,28,50000000,-5.18162585768086e-07,16.23978770683965,16.239787601245407,1.0559424268308248e-07,6.502193537826221e-09,33,0.0018732547760009766,5.18162585768086e-07,3.190698025872921e-08
Lchi,60.0,1.0,4,50000000,-3.062132691858156e-14,2.5890878100005814,2.589087810000676,-9.459100169806334e-14,3.65344896116297e-14,37,0.0010533332824707031,3.062132691858156e-14,1.1827071604255354e-14
Lchi,60.0,1.0,8,50000000,-3.6012852202070066e-14,5.076203057360596,5.076203057360782,-1.865174681370263e-13,3.674350021648016e-14,37,0.0011005401611328125,3.6012852202070066e-14,7.0944467341295004e-15
Lchi,60.0,1.0,12,50000000,-5.1964773904255976e-14,7.533463627384144,7.533463627384437,-2.9309887850104133e-13,3.890625786465959e-14,37,0.0012149810791015625,5.1964773904255976e-14,6.897859533742753e-15
Lchi,60.0,1.0,16,50000000,-6.436938457822438e-14,9.512538758095832,9.51253875809621,-3.7836400679225335e-13,3.977529200290924e-14,37,0.0015003681182861328,6.436938457822438e-14,6.76679340974475e-15
Lchi,60.0,1.0,20,50000000,-4.496240630548244e-13,11.999197738479676,11.999197738478276,1.3997691894473974e-12,1.1665523145422814e-13,37,0.0015935897827148438,4.496240630548244e-13,3.7471177061525174e-14
Lchi,60.0,1.0,24,50000000,-3.941494212575101e-10,14.411346501551794,14.411346500452318,1.099476065746785e-09,7.629238986297324e-11,37,0.0016753673553466797,3.941494212575101e-10,2.7349937163405837e-11
Lchi,60.0,1.0,28,50000000,-1.3057667658870683e-07,17.178590165364707,17.178589971803124,1.9356158276195856e-07,1.1267605833697307e-08,37,0.0018229484558105469,1.3057667658870683e-07,7.601128808112214e-09
Lchi,85.7,1.0,4,50000000,-3.9187077841970686e-14,2.3765374571244733,2.37653745712458,-1.0658141036401503e-13,4.484735136174743e-14,40,0.0010111331939697266,3.9187077841970686e-14,1.6489147993226108e-14
Lchi,85.7,1.0,8,50000000,-4.264824545579729e-14,5.226212708272981,5.226212708273172,-1.9095836023552692e-13,3.6538574086975833e-14,40,0.001054525375366211,4.264824545579729e-14,8.160449609769239e-15
Lchi,85.7,1.0,12,50000000,-5.5850236060076067e-14,7.9236610229618245,7.923661022962129,-3.0464519795714295e-13,3.844753038706698e-14,40,0.0011909008026123047,5.5850236060076067e-14,7.048539292408994e-15
Lchi,85.7,1.0,16,50000000,-6.307019414688636e-14,10.96971248035693,10.969712480357334,-4.0323300254385686e-13,3.67587576489276e-14,40,0.0013041496276855469,6.307019414688636e-14,5.749484707080873e-15
Lchi,85.7,1.0,20,50000000,-7.39527593772102e-12,13.415230020310783,13.415230020317344,-6.560085807905125e-12,4.890028570492711e-13,40,0.001470804214477539,7.39527593772102e-12,5.512597194773778e-13
Lchi,85.7,1.0,24,50000000,-5.604541915467039e-09,16.405220023262743,16.405220027585134,-4.3223913337442355e-09,2.6347658413694223e-10,40,0.001649618148803711,5.604541915467039e-09,3.416316213692807e-10
