delta,sigma,J,m,lambda_min_dQ,lambda_min_Q,lambda_min_base,tr_Mzeros
0.1,2.0,12,20,-0.04804702669075268,-0.043431678058099124,-1.3060495775456033e-15,7.67654558894307
1e-05,2.0,16,1,0.0,-9.228585339880034e-15,-9.228585339880034e-15,5.081141941328352
0.0001,2.0,16,1,0.0,-9.228585339880034e-15,-9.228585339880034e-15,5.081141941328352
0.001,2.0,16,1,0.0,-9.228585339880034e-15,-9.228585339880034e-15,5.081141941328352
0.01,2.0,16,1,0.0,-9.228585339880034e-15,-9.228585339880034e-15,5.081141941328352
0.1,2.0,16,1,0.0,-9.228585339880034e-15,-9.228585339880034e-15,5.081141941328352
1e-05,2.0,16,5,-3.4133845120624855e-13,-6.907947572760213e-15,-6.90345085887618e-15,5.081385129644208
0.0001,2.0,16,5,-3.413432832084656e-11,-6.892987625334349e-15,-6.90345085887618e-15,5.081385129610451
0.001,2.0,16,5,-3.4134275944910862e-09,-3.454924305736486e-14,-6.90345085887618e-15,5.081385126234792
0.01,2.0,16,5,-3.413129291423566e-07,-2.5628787720329823e-10,-6.90345085887618e-15,5.081384788698662
0.1,2.0,16,5,-3.383360947836295e-05,-3.5839343740853285e-08,-6.90345085887618e-15,5.081351332690581
1e-05,2.0,16,20,-6.895177213265518e-10,-5.695032435894586e-10,-2.5192922354217913e-15,10.162283882738132
0.0001,2.0,16,20,-6.89517788106582e-08,-5.930752773670502e-08,-2.5192922354217913e-15,10.162283890799324
0.001,2.0,16,20,-6.895186803272687e-06,-6.098077243152673e-06,-2.5192922354217913e-15,10.162284696920374
0.01,2.0,16,20,-0.0006896078707085986,-0.0006743441905192049,-2.5192922354217913e-15,10.162365327827965
0.1,2.0,16,20,-0.06985824000465672,-0.0688010359396861,-2.5192922354217913e-15,10.170618368136836
1e-05,2.0,20,1,0.0,-1.9362038507527288e-11,-1.9362038507527288e-11,6.021985164808376
0.0001,2.0,20,1,0.0,-1.9362038507527288e-11,-1.9362038507527288e-11,6.021985164808376
0.001,2.0,20,1,0.0,-1.9362038507527288e-11,-1.9362038507527288e-11,6.021985164808376
0.01,2.0,20,1,0.0,-1.9362038507527288e-11,-1.9362038507527288e-11,6.021985164808376
0.1,2.0,20,1,0.0,-1.9362038507527288e-11,-1.9362038507527288e-11,6.021985164808376
1e-05,2.0,20,5,-1.3242963825643455e-11,-3.605721702728716e-12,-3.604412988774642e-12,6.041268720179445
0.0001,2.0,20,5,-1.324310420737695e-09,-3.736143701732108e-12,-3.604412988774642e-12,6.041268718880514
0.001,2.0,20,5,-1.3243102271041824e-07,-1.8935957743621936e-11,-3.604412988774642e-12,6.04126858898749
0.01,2.0,20,5,-1.3242868810460608e-05,-2.9761493278372533e-08,-3.604412988774642e-12,6.041255599916481
0.1,2.0,20,5,-0.001321943588447036,-8.16217602671641e-06,-3.604412988774642e-12,6.039959014537726
1e-05,2.0,20,20,-8.263469016919773e-10,-7.11760280371796e-10,-6.929205638937894e-14,12.043970329508525
0.0001,2.0,20,20,-8.263469607680964e-08,-7.416732843841063e-08,-6.929205638937894e-14,12.043970318793932
0.001,2.0,20,20,-8.263486980512238e-06,-7.511279219433789e-06,-6.929205638937894e-14,12.043969247332852
0.01,2.0,20,20,-0.0008265224302707599,-0.0007525963173505573,-6.929205638937894e-14,12.043862084465522
0.1,2.0,20,20,-0.0844057947171522,-0.08138292467232351,-6.929205638937894e-14,12.032976463703735
1e-05,4.0,4,1,0.0,-0.4937773998135021,-0.4937773998135021,1.277454417094256
0.0001,4.0,4,1,0.0,-0.4937773998135021,-0.4937773998135021,1.277454417094256
0.001,4.0,4,1,0.0,-0.4937773998135021,-0.4937773998135021,1.277454417094256
0.01,4.0,4,1,0.0,-0.4937773998135021,-0.4937773998135021,1.277454417094256
0.1,4.0,4,1,0.0,-0.4937773998135021,-0.4937773998135021,1.277454417094256
1e-05,4.0,4,5,-5.232636173725899e-13,-0.493013638289947,-0.4930136382898699,1.2815995064242567
0.0001,4.0,4,5,-5.232028472146242e-11,-0.4930136382975473,-0.4930136382898699,1.2815995063726127
0.001,4.0,4,5,-5.2320282266827406e-09,-0.4930136390576033,-0.4930136382898699,1.2815995012082309
0.01,4.0,4,5,-5.232003435751007e-07,-0.49301371506332475,-0.4930136382898699,1.2815989847725129
0.1,4.0,4,5,-5.229528973406909e-05,-0.49302131703285923,-0.4930136382898699,1.2815473659664747
1e-05,4.0,4,20,-9.493183158857545e-12,-0.21963834330151316,-0.21963834329976858,2.5549088341922106
0.0001,4.0,4,20,-9.49325568435104e-10,-0.21963834347423028,-0.21963834329976858,2.554908834558383
0.001,4.0,4,20,-9.493257482464754e-08,-0.21963836074598175,-0.21963834329976858,2.5549088711756225
0.01,4.0,4,20,-9.493335592327489e-06,-0.21964008805921592,-0.21963834329976858,2.5549125329534035
0.1,4.0,4,20,-0.0009501147037859719,-0.219814201899057,-0.21963834329976858,2.5552792498133936
1e-05,4.0,8,1,0.0,-1.1816034232820571,-1.1816034232820571,2.544892222438329
0.0001,4.0,8,1,0.0,-1.1816034232820571,-1.1816034232820571,2.544892222438329
0.001,4.0,8,1,0.0,-1.1816034232820571,-1.1816034232820571,2.544892222438329
0.01,4.0,8,1,0.0,-1.1816034232820571,-1.1816034232820571,2.544892222438329
0.1,4.0,8,1,0.0,-1.1816034232820571,-1.1816034232820571,2.544892222438329
1e-05,4.0,8,5,-3.412568619551564e-12,-1.174435330567811,-1.1744353305677753,2.777193695384082
0.0001,4.0,8,5,-3.412697064673123e-10,-1.174435330571337,-1.1744353305677753,2.7771936954305634
0.001,4.0,8,5,-3.412697665505789e-08,-1.1744353309239874,-1.1744353305677753,2.777193700078819
0.01,4.0,8,5,-3.412713698366654e-06,-1.1744353661812608,-1.1744353305677753,2.7771941649118217
0.1,4.0,8,5,-0.0003414315599465843,-1.1744388138409416,-1.1744353305677753,2.777240723301873
1e-05,4.0,8,20,-2.4396835798293804e-11,-0.9381127508418543,-0.9381127508402982,5.089784444876168
0.0001,4.0,8,20,-2.4396809246239892e-09,-0.9381127509958866,-0.9381127508402982,5.0897844448274
0.001,4.0,8,20,-2.4396812938697724e-07,-0.9381127663992248,-0.9381127508402982,5.089784439950611
0.01,4.0,8,20,-2.4397136554597965e-05,-0.9381143068458271,-0.9381127508402982,5.089783952216654
0.1,4.0,8,20,-0.0024429515322474714,-0.9382694834724423,-0.9381127508402982,5.089734628315001
1e-05,4.0,12,1,0.0,-1.5962145039924756,-1.5962145039924756,3.7269195574433085
0.0001,4.0,12,1,0.0,-1.5962145039924756,-1.5962145039924756,3.7269195574433085
0.001,4.0,12,1,0.0,-1.5962145039924756,-1.5962145039924756,3.7269195574433085
0.01,4.0,12,1,-5.551115123125783e-17,-1.596214503992475,-1.5962145039924756,3.7269195574433085
0.1,4.0,12,1,-3.946831202571357e-15,-1.596214503992475,-1.5962145039924756,3.7269195574433045
1e-05,4.0,12,5,-9.324530486043779e-12,-1.5704938277554936,-1.5704938277580276,4.27450627397944
