function,peak_idx,pc1_instantaneous,H_instantaneous
F2,134,0.9984588125163442,0.01151949962253479
F2,135,0.992286867963101,0.04520639246273982
F2,136,0.9455710475164865,0.2113550755198119
F2,137,0.9670482115845971,0.14485770408169388
F2,138,0.9951739039330046,0.03055546428058539
F2,139,0.9975591821111824,0.017120386525815517
F2,140,0.9931723956124775,0.04085201374051714
F2,141,0.8612444660968802,0.40269797075537794
F2,142,0.9790940168144089,0.10154440100097775
F2,143,0.9891050600857191,0.060074583896737886
F2,144,0.990817694053293,0.052209413000985784
F2,145,0.8957757511161233,0.3342666768626088
F2,146,0.8784442646710137,0.37001326794709
F2,147,0.9973054529860648,0.01863326869385963
F2,148,0.99511103572112,0.030890071711446858
F2,149,0.9825358227279912,0.08799884814824031
F2,150,0.9979131362786479,0.014965001570978048
F2,151,0.979382977663985,0.10043083753038895
F2,152,0.9642754409856108,0.15410996126009419
F2,153,0.948219171552643,0.2037257703100692
F2,154,0.9358189834928954,0.2383200212555441
F2,155,0.994685111166891,0.033136105032330596
F2,156,0.9650114303071745,0.15167656528884751
F2,157,0.9395634247878232,0.2281670887385548
F2,158,0.9930712231648536,0.04135509441564132
F2,159,0.9226244714492942,0.27231223416613454
F2,160,0.9744283639249475,0.11899441942509074
F2,161,0.9456317880044801,0.21118163208249643
F2,162,0.9825033122743476,0.08812983401083503
F2,163,0.9708329440003259,0.13183474331731132
F2,164,0.9870510850584897,0.0691503225538399
F2,165,0.971406970065846,0.12981686050827904
F2,166,0.9575660224646008,0.1756037760586253
F2,167,0.9592021669812678,0.17047146805418237
F2,168,0.9756315920976424,0.11458472180894154
F2,169,0.9833662331030676,0.08463189262822562
F2,170,0.9882615995371226,0.06384512982848639
F2,171,0.9958877053308967,0.02669584548535999
F2,172,0.9874944622107698,0.06722107620193833
F2,173,0.9208604341424107,0.27666284690760945
F2,174,0.9731876879886359,0.12348052321022873
F2,175,0.9939821229414528,0.036769263354537354
F2,176,0.8772378441001739,0.3723925060549415
F2,177,0.9844090043208411,0.08034391496989418
F2,178,0.9656725861182243,0.1494769202340569
F2,179,0.9080192201279507,0.3070968282789681
F2,180,0.9750619264227675,0.11667989914259168
F2,181,0.98800343639785,0.0649867361304043
F2,182,0.9428391140633093,0.2190830599792276
F2,183,0.9650595231266716,0.1515170014406794
F2,184,0.9731596408926197,0.12358124533899248
F2,185,0.9862550474533607,0.0725758156759218
F2,186,0.9779533323982202,0.10590091582382208
F2,187,0.9886090579168697,0.062299563394452674
F2,188,0.974544905749926,0.11856989144311358
F2,189,0.993917163146566,0.037100660560122185
F2,190,0.992824001463592,0.04257818988156831
F2,191,0.9967153145136474,0.022062707617934052
F2,192,0.9855766263357212,0.07545816695598366
F2,193,0.9941034103053092,0.036148612708119546
F2,194,0.9192181846723869,0.2806746959931225
F2,195,0.9827156102527539,0.08727336204955298
F2,196,0.9076401262655243,0.3079639748699913
F2,197,0.9830126106243862,0.08607071597506381
F2,198,0.9697325259932438,0.13567070849886606
F2,199,0.9879568191888913,0.06519227615561446
F4,0,0.9743073887658997,0.11943452021391256
F4,1,0.982958200202993,0.08629143311275718
F4,2,0.9816075795672835,0.09171497272937494
F4,3,0.9906861452299216,0.05282427964688664
F4,4,0.9314614805454278,0.24984203911261502
F4,5,0.9299278609472316,0.2538255082838686
F4,6,0.9712162533582646,0.13048859464213908
F4,7,0.9703847672477701,0.13340212490421652
F4,8,0.9885087372494138,0.06274689717120777
F4,9,0.9728712996714358,0.12461498927508505
F4,10,0.9847278011342482,0.07901905790527394
F4,11,0.9753578212271699,0.11559331033615987
F4,12,0.9792449737180036,0.10096317337714421
F4,13,0.9922957194260491,0.04516339500873606
F4,14,0.8886925559217647,0.3492401637290193
F4,15,0.9481660446873591,0.20388021142813187
F4,16,0.9118758089238437,0.2981762686999242
F4,17,0.9831161800466484,0.08565009383095043
F4,18,0.9496780144499525,0.19946222104974476
F4,19,0.9770026367100899,0.10948556780908697
F4,20,0.8866199257785893,0.3535243628976055
F4,21,0.9900564852015793,0.05574181664234136
