Function,Peak_Index,t_value,Peak_Magnitude,M_coh,R_comp
"L(s,χ_4) mod4",12,9869.0,8.998651915539412,2.025304696602049,0.02333535286007539
"L(s,χ_4) mod4",13,7089.0,8.862712956087053,1.703889354490332,0.011063134391935098
"L(s,χ_4) mod4",14,8897.0,8.84717269949386,2.0541784717565754,0.02383972721115724
"L(s,χ_4) mod4",15,3560.0,8.819673883765477,2.092802653552519,0.017653849539009617
"L(s,χ_4) mod4",16,4458.0,8.787052421958613,2.029225224355182,0.019306321506661877
"L(s,χ_4) mod4",17,8319.0,8.744418068131408,1.937252983974652,0.02285974997540213
"L(s,χ_4) mod4",18,9010.0,8.743297316220609,1.571478248610276,0.02766614737222821
"L(s,χ_4) mod4",19,6117.0,8.73659334707093,1.923973940223226,0.016912866512287496
"L(s,χ_4) mod4",20,9576.0,8.724170666548483,2.1963417691062896,0.033603280411818114
"L(s,χ_4) mod4",21,6059.0,8.695493876633076,1.9809030037906528,0.013616667766847603
"L(s,χ_4) mod4",22,6906.0,8.647863379781201,1.9894841489580564,0.01589254325282625
"L(s,χ_4) mod4",23,8061.0,8.638986439784778,1.5946314969725488,0.020445399349200453
"L(s,χ_4) mod4",24,9217.0,8.633409371753192,1.9661678558112645,0.013130878364907173
"L(s,χ_4) mod4",25,9365.0,8.626919791672446,1.6389098723777022,0.017404851236376764
"L(s,χ_4) mod4",26,3240.0,8.616931149503703,1.8868485907099484,0.008738162242046134
"L(s,χ_4) mod4",27,5739.0,8.591570596680846,1.630059915966803,0.015431655859956832
"L(s,χ_4) mod4",28,4189.0,8.499145250683883,1.7540243325921006,0.011938308335474246
"L(s,χ_4) mod4",29,8245.0,8.430611715125421,1.916413703269207,0.02436015297326833
"L(s,χ_4) mod4",30,2491.0,8.387938427424112,2.0503064257029235,0.012071903088927825
"L(s,χ_4) mod4",31,8936.0,8.358370279519534,1.5528959353460035,0.009519603094714342
"L(s,χ_4) mod4",32,4493.0,8.341218944409405,2.0551176958700212,0.020318944500389808
"L(s,χ_4) mod4",33,9720.0,8.31496655653617,1.9330389174690057,0.018359361073728812
"L(s,χ_4) mod4",34,6305.0,8.250274166548559,2.081444764402311,0.018641523251574678
"L(s,χ_4) mod4",35,6414.0,8.24871672617165,1.7766341052743215,0.018751183575519727
"L(s,χ_4) mod4",36,7609.0,8.2111347903942,1.7498945798349241,0.01617589416806091
"L(s,χ_4) mod4",37,9565.0,8.1974261863354,1.7155972051408972,0.024481350190892853
"L(s,χ_4) mod4",38,5391.0,8.167986315565123,2.1531671510328527,0.025348425680272034
"L(s,χ_4) mod4",39,4544.0,8.148088578112652,1.7799351016213205,0.012670680560583588
"L(s,χ_4) mod4",40,6746.0,8.147503823279175,1.5159617536774372,0.013912876225037655
"L(s,χ_4) mod4",41,9772.0,8.125660125971521,2.0320999543683507,0.027015429201080497
"L(s,χ_4) mod4",42,6734.0,8.073938630214917,1.7648469851556023,0.008812769896272428
"L(s,χ_4) mod4",43,2530.0,8.037196803667106,2.115633188776469,0.0177855913211115
"L(s,χ_4) mod4",44,5556.0,8.034685102853445,1.7481432003607067,0.02293535920703205
"L(s,χ_4) mod4",45,9463.0,8.034624627210007,1.6196222024756461,0.022681156729544665
"L(s,χ_4) mod4",46,1335.0,8.012026576360666,1.8533087484440025,0.006407202572686891
"L(s,χ_4) mod4",47,9343.0,7.986024093113697,2.039410581860933,0.027528481091369534
"L(s,χ_4) mod4",48,2834.0,7.963317959663574,2.0026353416777503,0.01168334769278791
"L(s,χ_4) mod4",49,4990.0,7.958758955250491,2.0443296180612704,0.0179730554792223
f_fully_rand,0,9961.0,7.928802727587494,1.7637523635173165,0.013004652839489591
f_fully_rand,1,6890.0,7.721216280405036,1.6655735129869813,0.009490302756796744
f_fully_rand,2,9911.0,7.610050501541401,1.7597124507986894,0.015537455491328235
f_fully_rand,3,3725.0,7.453229639091981,1.5586461850789473,0.014345707185717137
f_fully_rand,4,9043.0,7.446677813368343,1.6106842298552564,0.012395984498716053
f_fully_rand,5,4721.0,7.3328536812885226,1.6211332924802953,0.011392436631979856
f_fully_rand,6,8514.0,7.304504318481717,1.675056752734179,0.015244899482371604
f_fully_rand,7,6903.0,7.254212507349235,1.7799890239760066,0.01374985119232881
f_fully_rand,8,6745.0,7.20254232022937,2.0430064601127382,0.01358278042096211
f_fully_rand,9,8264.0,7.184223767959864,1.3245046722122147,0.01680226923765761
f_fully_rand,10,4614.0,7.095444223702097,1.4728911374485663,0.010835736677819924
f_fully_rand,11,8350.0,7.0289774169293375,1.5131352829095457,0.013599600201811257
f_fully_rand,12,2753.0,6.997380190234907,1.5985668957727555,0.013785692863159178
f_fully_rand,13,3617.0,6.982206816725547,1.4861773580732007,0.0054344694400514275
f_fully_rand,14,8853.0,6.976185026778852,1.6223398073002981,0.018716107897178987
f_fully_rand,15,1560.0,6.952068382905312,1.6393346959047062,0.01188437939245965
f_fully_rand,16,7682.0,6.90687380231108,1.5476079255945652,0.01691250615782279
f_fully_rand,17,2627.0,6.887423371509666,1.4374504266060384,0.017343348007149133
f_fully_rand,18,7360.0,6.88179702366615,1.613889439681561,0.01087380226718245
