kind,x,y
A1_visible_n150,11.1175421482,-2.4287643522
A1_visible_n150,11.1550399718,-2.42439731392
A1_visible_n150,11.1925377954,-2.41696754197
A1_visible_n150,11.2300356191,-2.41480626016
A1_visible_n150,11.2675334427,-2.41254215858
A1_visible_n150,11.3050312663,-2.4099910023
A1_visible_n150,11.3425290899,-2.41742229741
A1_visible_n150,11.3800269136,-2.41632673311
A1_visible_n150,11.4175247372,-2.4102361232
A1_visible_n150,11.4550225608,-2.41046096551
A1_visible_n150,11.4925203844,-2.42112935761
A1_visible_n150,11.530018208,-2.42443590523
A1_visible_n150,11.5675160317,-2.42880855463
A1_visible_n150,11.6050138553,-2.42774870942
A1_visible_n150,11.6425116789,-2.42507528148
A1_visible_n150,11.6800095025,-2.4203320564
A1_visible_n150,11.7175073262,-2.41697702651
A1_visible_n150,11.7550051498,-2.41682262542
A1_visible_n150,11.7925029734,-2.4167571551
A1_visible_n150,11.830000797,-2.41667852371
A1_visible_n150,11.8674986207,-2.41521187457
A1_visible_n150,11.9049964443,-2.41525174661
A1_visible_n150,11.9424942679,-2.41196180501
A1_visible_n150,11.9799920915,-2.40682399916
A1_visible_n150,12.0174899152,-2.40528133073
A1_visible_n150,12.0549877388,-2.4140789687
A1_visible_n150,12.0924855624,-2.42455506832
A1_visible_n150,12.129983386,-2.43004059465
A1_visible_n150,12.1674812097,-2.42762325739
A1_visible_n150,12.2049790333,-2.42450892176
A1_visible_n150,12.2424768569,-2.42892773439
A1_visible_n150,12.2799746805,-2.42153841454
A1_visible_n150,12.3174725042,-2.42185148408
A1_visible_n150,12.3549703278,-2.41497146554
A1_visible_n150,12.3924681514,-2.41596035326
A1_visible_n150,12.429965975,-2.41591516427
A1_visible_n150,12.4674637987,-2.41373627286
A1_visible_n150,12.5049616223,-2.41626492079
A1_visible_n150,12.5424594459,-2.41337127435
A1_visible_n150,12.5799572695,-2.41294886134
A1_visible_n150,12.6174550932,-2.41778898178
A1_visible_n150,12.6549529168,-2.42115778594
A1_visible_n150,12.6924507404,-2.42175108441
A1_visible_n150,12.729948564,-2.42188305419
A1_visible_n150,12.7674463877,-2.42312539824
A1_visible_n150,12.8049442113,-2.42625252321
