function,function_label,t_value,magnitude,M,R_comp
f_rand,$f_{\mathrm{rand}}$ (Random mult.),8236.0,16.022676061855883,0.5622591440218359,0.02036965144683789
f_rand,$f_{\mathrm{rand}}$ (Random mult.),4216.0,15.979868513457637,0.47330192398247983,0.011999426440638556
f_rand,$f_{\mathrm{rand}}$ (Random mult.),3231.0,15.81901642166592,0.5906147420896687,0.017400203927283236
f_rand,$f_{\mathrm{rand}}$ (Random mult.),6554.0,15.736902402483267,0.5580196010091143,0.0037855434137663933
f_rand,$f_{\mathrm{rand}}$ (Random mult.),5422.0,15.722370676468541,0.508033923340524,0.007378999650087497
f_rand,$f_{\mathrm{rand}}$ (Random mult.),2076.0,15.588340928401745,0.5362339303944372,0.004448668763408438
f_rand,$f_{\mathrm{rand}}$ (Random mult.),1813.0,15.48998534692659,1.026928937115603,0.010225232318030875
f_rand,$f_{\mathrm{rand}}$ (Random mult.),6365.0,15.457364012373702,0.7441759744301141,0.011455408456882065
f_rand,$f_{\mathrm{rand}}$ (Random mult.),6886.0,15.393295339044753,0.49721182930346114,0.00436325476279571
f_rand,$f_{\mathrm{rand}}$ (Random mult.),3763.0,15.378202726014836,0.6501607607930335,0.006917697211069618
f_rand,$f_{\mathrm{rand}}$ (Random mult.),6011.0,15.167568035782658,0.55270798786575,0.004556971547001165
f_rand,$f_{\mathrm{rand}}$ (Random mult.),7778.0,15.09284396575505,0.5506907101339602,0.0027144118865361374
f_rand,$f_{\mathrm{rand}}$ (Random mult.),5125.0,15.041960767001857,0.4981780291361874,0.023325945783438082
f_rand,$f_{\mathrm{rand}}$ (Random mult.),5965.0,15.034279694777698,0.5553566566339345,0.0029079484777467
f_rand,$f_{\mathrm{rand}}$ (Random mult.),9201.0,15.003659108587822,0.8036039535255377,0.00862281081714042
f_rand,$f_{\mathrm{rand}}$ (Random mult.),6582.0,14.898746749186888,0.5887050845327194,0.007803025425159849
f_rand,$f_{\mathrm{rand}}$ (Random mult.),4415.0,14.875948336534897,0.621924048586881,0.004294641800152361
f_rand,$f_{\mathrm{rand}}$ (Random mult.),6137.0,14.674990796129583,0.5242045178320606,0.004932625284191472
f_rand,$f_{\mathrm{rand}}$ (Random mult.),1007.0,14.568293404624853,0.5202638063622949,0.004919506958183017
f_rand,$f_{\mathrm{rand}}$ (Random mult.),5582.0,14.513312657921867,0.7229400374899553,0.005533475801297848
f_rand,$f_{\mathrm{rand}}$ (Random mult.),4633.0,14.492227085032626,0.5554699456785044,0.009409868414375942
f_rand,$f_{\mathrm{rand}}$ (Random mult.),2974.0,14.4642689873203,0.579936847398283,0.003915599164581371
f_rand,$f_{\mathrm{rand}}$ (Random mult.),5079.0,14.457932491039623,0.9649737780048302,0.014879108581650497
f_rand,$f_{\mathrm{rand}}$ (Random mult.),8385.0,14.427989902731523,0.49734629863841945,0.0033118803690896795
f_rand,$f_{\mathrm{rand}}$ (Random mult.),3111.0,14.423943854790037,0.5276643632097,0.010230428490275527
f_rand,$f_{\mathrm{rand}}$ (Random mult.),1927.0,14.216572872531954,0.5989425614144008,0.014545153375125032
f_rand,$f_{\mathrm{rand}}$ (Random mult.),4261.0,14.195202226750334,0.6021349998864157,0.004461132036057105
f_rand,$f_{\mathrm{rand}}$ (Random mult.),6382.0,13.98907612464896,0.6918344958970264,0.0034436519529725007
L_DH,$L_{\mathrm{DH}}$ (Davenport-Heilbronn),3300.0,16.756508025893975,0.5159019218449393,0.01755620546219851
