n,a_n_real,a_n_imag,a_n_magnitude,omega_n,is_squarefree
402,0.1986028939392892,0.0,0.1986028939392892,3,True
403,-0.1986028939392892,0.0,0.1986028939392892,2,True
404,0.0,0.0,0.0,0,False
405,0.0,0.0,0.0,0,False
406,1.0,0.0,1.0,3,True
407,0.1986028939392892,0.0,0.1986028939392892,2,True
408,0.0,0.0,0.0,0,False
409,-1.0,0.0,1.0,1,True
410,0.0,0.0,0.0,0,True
411,1.0,0.0,1.0,2,True
412,0.0,0.0,0.0,0,False
413,-0.1986028939392892,0.0,0.1986028939392892,2,True
414,0.0,0.0,0.0,0,False
415,0.0,0.0,0.0,0,True
416,0.0,0.0,0.0,0,False
417,0.1986028939392892,0.0,0.1986028939392892,2,True
418,-0.1986028939392892,0.0,0.1986028939392892,3,True
419,-1.0,0.0,1.0,1,True
420,0.0,0.0,0.0,0,False
421,1.0,0.0,1.0,1,True
422,0.1986028939392892,0.0,0.1986028939392892,2,True
423,0.0,0.0,0.0,0,False
424,0.0,0.0,0.0,0,False
425,0.0,0.0,0.0,0,False
426,1.0,0.0,1.0,3,True
427,0.1986028939392892,0.0,0.1986028939392892,2,True
428,0.0,0.0,0.0,0,False
429,-1.0,0.0,1.0,3,True
430,0.0,0.0,0.0,0,True
431,1.0,0.0,1.0,1,True
432,0.0,0.0,0.0,0,False
433,-0.1986028939392892,0.0,0.1986028939392892,1,True
434,-1.0,0.0,1.0,3,True
435,0.0,0.0,0.0,0,True
436,0.0,0.0,0.0,0,False
437,0.1986028939392892,0.0,0.1986028939392892,2,True
438,-0.1986028939392892,0.0,0.1986028939392892,3,True
439,-1.0,0.0,1.0,1,True
440,0.0,0.0,0.0,0,False
441,0.0,0.0,0.0,0,False
442,0.1986028939392892,0.0,0.1986028939392892,3,True
443,-0.1986028939392892,0.0,0.1986028939392892,1,True
444,0.0,0.0,0.0,0,False
445,0.0,0.0,0.0,0,True
446,1.0,0.0,1.0,2,True
447,0.1986028939392892,0.0,0.1986028939392892,2,True
448,0.0,0.0,0.0,0,False
449,-1.0,0.0,1.0,1,True
450,0.0,0.0,0.0,0,False
451,1.0,0.0,1.0,2,True
452,0.0,0.0,0.0,0,False
453,-0.1986028939392892,0.0,0.1986028939392892,2,True
454,-1.0,0.0,1.0,2,True
455,0.0,0.0,0.0,0,True
456,0.0,0.0,0.0,0,False
457,0.1986028939392892,0.0,0.1986028939392892,1,True
458,-0.1986028939392892,0.0,0.1986028939392892,2,True
459,0.0,0.0,0.0,0,False
460,0.0,0.0,0.0,0,False
461,1.0,0.0,1.0,1,True
462,0.1986028939392892,0.0,0.1986028939392892,4,True
463,-0.1986028939392892,0.0,0.1986028939392892,1,True
464,0.0,0.0,0.0,0,False
465,0.0,0.0,0.0,0,True
466,1.0,0.0,1.0,2,True
467,0.1986028939392892,0.0,0.1986028939392892,1,True
468,0.0,0.0,0.0,0,False
469,-1.0,0.0,1.0,2,True
470,0.0,0.0,0.0,0,True
471,1.0,0.0,1.0,2,True
472,0.0,0.0,0.0,0,False
473,-0.1986028939392892,0.0,0.1986028939392892,2,True
474,-1.0,0.0,1.0,3,True
475,0.0,0.0,0.0,0,False
476,0.0,0.0,0.0,0,False
477,0.0,0.0,0.0,0,False
478,-0.1986028939392892,0.0,0.1986028939392892,2,True
479,-1.0,0.0,1.0,1,True
480,0.0,0.0,0.0,0,False
481,1.0,0.0,1.0,2,True
482,0.1986028939392892,0.0,0.1986028939392892,2,True
483,-0.1986028939392892,0.0,0.1986028939392892,3,True
484,0.0,0.0,0.0,0,False
485,0.0,0.0,0.0,0,True
486,0.0,0.0,0.0,0,False
487,0.1986028939392892,0.0,0.1986028939392892,1,True
488,0.0,0.0,0.0,0,False
489,-1.0,0.0,1.0,2,True
490,0.0,0.0,0.0,0,False
491,1.0,0.0,1.0,1,True
492,0.0,0.0,0.0,0,False
493,-0.1986028939392892,0.0,0.1986028939392892,2,True
494,-1.0,0.0,1.0,3,True
495,0.0,0.0,0.0,0,False
496,0.0,0.0,0.0,0,False
497,0.1986028939392892,0.0,0.1986028939392892,2,True
498,-0.1986028939392892,0.0,0.1986028939392892,3,True
499,-1.0,0.0,1.0,1,True
500,0.0,0.0,0.0,0,False
501,1.0,0.0,1.0,2,True
502,0.1986028939392892,0.0,0.1986028939392892,2,True
503,-0.1986028939392892,0.0,0.1986028939392892,1,True
504,0.0,0.0,0.0,0,False
505,0.0,0.0,0.0,0,True
506,1.0,0.0,1.0,3,True
507,0.0,0.0,0.0,0,False
508,0.0,0.0,0.0,0,False
509,-1.0,0.0,1.0,1,True
510,0.0,0.0,0.0,0,True
511,1.0,0.0,1.0,2,True
512,0.0,0.0,0.0,0,False
513,0.0,0.0,0.0,0,False
514,-1.0,0.0,1.0,2,True
515,0.0,0.0,0.0,0,True
516,0.0,0.0,0.0,0,False
517,0.1986028939392892,0.0,0.1986028939392892,2,True
518,-0.1986028939392892,0.0,0.1986028939392892,3,True
519,-1.0,0.0,1.0,2,True
520,0.0,0.0,0.0,0,False
521,1.0,0.0,1.0,1,True
522,0.0,0.0,0.0,0,False
523,-0.1986028939392892,0.0,0.1986028939392892,1,True
524,0.0,0.0,0.0,0,False
525,0.0,0.0,0.0,0,False
526,1.0,0.0,1.0,2,True
527,0.1986028939392892,0.0,0.1986028939392892,2,True
528,0.0,0.0,0.0,0,False
529,0.0,0.0,0.0,0,False
530,0.0,0.0,0.0,0,True
531,0.0,0.0,0.0,0,False
532,0.0,0.0,0.0,0,False
533,-0.1986028939392892,0.0,0.1986028939392892,2,True
534,-1.0,0.0,1.0,3,True
535,0.0,0.0,0.0,0,True
536,0.0,0.0,0.0,0,False
537,0.1986028939392892,0.0,0.1986028939392892,2,True
538,-0.1986028939392892,0.0,0.1986028939392892,2,True
539,0.0,0.0,0.0,0,False
540,0.0,0.0,0.0,0,False
541,1.0,0.0,1.0,1,True
542,0.1986028939392892,0.0,0.1986028939392892,2,True
543,-0.1986028939392892,0.0,0.1986028939392892,2,True
544,0.0,0.0,0.0,0,False
545,0.0,0.0,0.0,0,True
546,1.0,0.0,1.0,4,True
547,0.1986028939392892,0.0,0.1986028939392892,1,True
548,0.0,0.0,0.0,0,False
549,0.0,0.0,0.0,0,False
550,0.0,0.0,0.0,0,False
551,1.0,0.0,1.0,2,True
552,0.0,0.0,0.0,0,False
553,-0.1986028939392892,0.0,0.1986028939392892,2,True
554,-1.0,0.0,1.0,2,True
555,0.0,0.0,0.0,0,True
556,0.0,0.0,0.0,0,False
557,0.1986028939392892,0.0,0.1986028939392892,1,True
558,0.0,0.0,0.0,0,False
559,-1.0,0.0,1.0,2,True
560,0.0,0.0,0.0,0,False
561,1.0,0.0,1.0,3,True
562,0.1986028939392892,0.0,0.1986028939392892,2,True
563,-0.1986028939392892,0.0,0.1986028939392892,1,True
564,0.0,0.0,0.0,0,False
565,0.0,0.0,0.0,0,True
566,1.0,0.0,1.0,2,True
567,0.0,0.0,0.0,0,False
568,0.0,0.0,0.0,0,False
569,-1.0,0.0,1.0,1,True
570,0.0,0.0,0.0,0,True
571,1.0,0.0,1.0,1,True
572,0.0,0.0,0.0,0,False
573,-0.1986028939392892,0.0,0.1986028939392892,2,True
574,-1.0,0.0,1.0,3,True
575,0.0,0.0,0.0,0,False
576,0.0,0.0,0.0,0,False
577,0.1986028939392892,0.0,0.1986028939392892,1,True
578,0.0,0.0,0.0,0,False
579,-1.0,0.0,1.0,2,True
580,0.0,0.0,0.0,0,False
581,1.0,0.0,1.0,2,True
582,0.1986028939392892,0.0,0.1986028939392892,3,True
583,-0.1986028939392892,0.0,0.1986028939392892,2,True
584,0.0,0.0,0.0,0,False
585,0.0,0.0,0.0,0,False
586,1.0,0.0,1.0,2,True
587,0.1986028939392892,0.0,0.1986028939392892,1,True
588,0.0,0.0,0.0,0,False
589,-1.0,0.0,1.0,2,True
590,0.0,0.0,0.0,0,True
591,1.0,0.0,1.0,2,True
592,0.0,0.0,0.0,0,False
593,-0.1986028939392892,0.0,0.1986028939392892,1,True
594,0.0,0.0,0.0,0,False
595,0.0,0.0,0.0,0,True
596,0.0,0.0,0.0,0,False
597,0.1986028939392892,0.0,0.1986028939392892,2,True
598,-0.1986028939392892,0.0,0.1986028939392892,3,True
599,-1.0,0.0,1.0,1,True
600,0.0,0.0,0.0,0,False
601,1.0,0.0,1.0,1,True
602,0.1986028939392892,0.0,0.1986028939392892,3,True
603,0.0,0.0,0.0,0,False
604,0.0,0.0,0.0,0,False
605,0.0,0.0,0.0,0,False
606,1.0,0.0,1.0,3,True
607,0.1986028939392892,0.0,0.1986028939392892,1,True
608,0.0,0.0,0.0,0,False
609,-1.0,0.0,1.0,3,True
610,0.0,0.0,0.0,0,True
611,1.0,0.0,1.0,2,True
