function,peak_idx,t_value,magnitude,M_coh,R_comp,ACF_sum_squared,class,predicted_linear,predicted_rbf,true_label
f_rand,23,5700.0,7.3089776699739435,0.031099014968452868,2.304505759157256,0.004307363917690969,Anomalous,1,1,1
f_rand,24,2446.0,7.298920216738213,0.028755496104316408,2.233152630251248,0.004307363917690969,Anomalous,1,1,1
f_rand,25,1936.0,7.280742432198398,0.00016068351026367515,2.180823254920851,0.004307363917690969,Anomalous,1,1,1
f_rand,26,1288.0,7.273789148925771,0.24935889443232537,2.249060961727195,0.004307363917690969,Anomalous,1,1,1
f_rand,27,4884.0,7.191135647209092,0.05701315111516716,2.2835617628464857,0.004307363917690969,Anomalous,1,1,1
f_rand,28,1560.0,7.163311298157682,0.04008783321414046,2.254804352219201,0.004307363917690969,Anomalous,1,1,1
f_rand,29,3670.0,7.13983161447197,0.1312107500668482,2.6319825759974167,0.004307363917690969,Anomalous,1,1,1
f_rand,30,6602.0,7.05626985088396,0.06657961346053158,2.118745238720796,0.004307363917690969,Anomalous,1,1,1
f_rand,31,7438.0,7.045933579119752,0.04397407803403829,2.2272965720377167,0.004307363917690969,Anomalous,1,1,1
f_rand,32,7828.0,7.043383851592836,0.19336409074931848,2.3438193988145652,0.004307363917690969,Anomalous,1,1,1
f_rand,33,7086.0,7.037595542999779,0.04108069124745888,2.258264140380761,0.004307363917690969,Anomalous,1,1,1
f_rand,34,9760.0,7.007165212622461,0.09645097645351472,2.178410827130475,0.004307363917690969,Anomalous,1,1,1
f_rand,35,7580.0,7.005455100949577,0.017508583801518252,2.1838041791209775,0.004307363917690969,Anomalous,1,1,1
f_rand,36,6684.0,6.937570036764967,0.013454814246428503,2.193223672215573,0.004307363917690969,Anomalous,1,1,1
f_rand,37,1776.0,6.932638921496832,0.1850482097057005,2.283920385863687,0.004307363917690969,Anomalous,1,1,1
f_rand,38,4652.0,6.924901894915766,0.12928033542473508,2.2424929610751856,0.004307363917690969,Anomalous,1,1,1
f_rand,39,1456.0,6.899281889534161,0.06921299621239672,2.108074390832403,0.004307363917690969,Anomalous,1,1,1
f_rand,40,4252.0,6.8829492217524955,0.14434769132259131,2.1715695993692257,0.004307363917690969,Anomalous,1,1,1
f_rand,41,5504.0,6.879953421963526,0.053716494634793124,2.41491099033445,0.004307363917690969,Anomalous,1,1,1
f_rand,42,3950.0,6.873075955036404,0.10643330950082883,2.265727263256197,0.004307363917690969,Anomalous,1,1,1
f_rand,43,5808.0,6.864603318865965,0.10798429136656434,2.1520726967536503,0.004307363917690969,Anomalous,1,1,1
f_rand,44,8674.0,6.833182362629188,0.11790127107934247,2.142681313790297,0.004307363917690969,Anomalous,1,1,1
f_rand,45,2588.0,6.772178504631112,0.07835537388502875,2.1248728074577645,0.004307363917690969,Anomalous,1,1,1
f_rand,46,6678.0,6.770705253362401,0.014278158500348418,2.15215290897243,0.004307363917690969,Anomalous,1,1,1
f_rand,47,5858.0,6.753303881340738,0.09405908031156632,2.053066076220869,0.004307363917690969,Anomalous,1,1,1
f_rand,48,8242.0,6.740262211465757,0.07891341890572066,2.1198303907119636,0.004307363917690969,Anomalous,1,1,1
f_rand,49,8604.0,6.731459213142326,0.18130724411761798,2.034679980843116,0.004307363917690969,Anomalous,1,1,1
L_DH,0,7312.0,21.79726537088092,0.03864875196849536,5.190729916990255,24.870220999999997,Anomalous,1,1,1
L_DH,1,7964.0,21.693218159192053,0.027698911169251442,4.657170974175769,24.870220999999997,Anomalous,1,1,1
L_DH,2,5688.0,20.76179847733577,0.19756177105344322,3.893877336329456,24.870220999999997,Anomalous,1,1,1
L_DH,3,6992.0,19.82553711684685,0.09172756799407851,4.180792896731902,24.870220999999997,Anomalous,1,1,1
L_DH,4,9514.0,18.425313403886438,0.07093936027317528,3.8171626148247513,24.870220999999997,Anomalous,1,1,1
L_DH,5,3486.0,18.323669669150124,0.006621764442975166,3.68015208743113,24.870220999999997,Anomalous,1,1,1
L_DH,6,3560.0,17.65207552506614,0.00041326321093088233,3.4900165236250618,24.870220999999997,Anomalous,1,1,1
L_DH,7,4458.0,17.562190082050137,0.22029129536425518,3.7037628451484568,24.870220999999997,Anomalous,1,1,1
L_DH,8,9010.0,17.488005347873266,0.07340771178478171,3.706578661734248,24.870220999999997,Anomalous,1,1,1
L_DH,9,9576.0,17.43972539143117,0.03405645321673892,3.705524998724057,24.870220999999997,Anomalous,1,1,1
L_DH,10,6906.0,17.299983177654934,0.10255115655183446,3.410919469385644,24.870220999999997,Anomalous,1,1,1
L_DH,11,3240.0,17.246188783256663,0.15104311414722277,4.226531996666484,24.870220999999997,Anomalous,1,1,1
L_DH,12,8936.0,16.712272520456906,0.08234182353492189,3.2600858251343716,24.870220999999997,Anomalous,1,1,1
L_DH,13,9720.0,16.635735210040966,0.004492350576861459,3.3736026052641894,24.870220999999997,Anomalous,1,1,1
L_DH,14,6414.0,16.483203788284698,0.2802620321345532,3.652610080996161,24.870220999999997,Anomalous,1,1,1
L_DH,15,6746.0,16.28797823677835,0.0702087379479195,3.005121852610443,24.870220999999997,Anomalous,1,1,1
L_DH,16,4544.0,16.285257166656415,0.10891019150055488,3.046609385261859,24.870220999999997,Anomalous,1,1,1
L_DH,17,9772.0,16.26364047948414,0.06713352079918103,3.0012434308285014,24.870220999999997,Anomalous,1,1,1
L_DH,18,6734.0,16.15349841861882,0.0743871081847522,3.021801907817006,24.870220999999997,Anomalous,1,1,1
L_DH,19,2530.0,16.07890515303343,0.12990269923108602,2.932875254164891,24.870220999999997,Anomalous,1,1,1
L_DH,20,5556.0,16.068384394604124,0.08581973936302162,3.1680798749525074,24.870220999999997,Anomalous,1,1,1
L_DH,21,2834.0,15.932180366919587,0.10009127727125934,3.5288681634155563,24.870220999999997,Anomalous,1,1,1
L_DH,22,6340.0,15.928165015733331,0.2532109005605086,3.737288706558427,24.870220999999997,Anomalous,1,1,1
