function,t_value,magnitude,M_coh,R_comp
zeta,6617.0,12.637987327555162,1.8207238961177914,0.002220041887346736
zeta,8757.0,12.610763812875952,2.0539903246740896,0.0063207113346996835
zeta,7297.5,12.597433260102289,1.9447620045107696,0.0008247648906711067
zeta,2819.0,12.591252809228683,1.9475536986765527,0.0004906524612525049
zeta,3997.5,12.540136742513006,1.587414637107555,0.0016398532768634
zeta,8385.0,12.537137715508088,2.0413669447921157,0.0019451809933205826
zeta,7714.0,12.390232941875656,1.7865217657560917,0.004835792168003272
L_chi4,9794.5,19.614433923199506,2.098965846425391,0.0018195671608630182
L_chi4,6585.5,18.017783975245965,2.0189832491898296,0.000812998217077883
L_chi4,9359.5,17.810070121501678,1.8908805828034416,0.0034360646864274326
L_chi4,4944.5,17.066441946820483,2.0726089864625505,0.005105280525970428
L_chi4,7918.5,16.97647123991682,1.9785108097437258,0.005083454120573275
L_chi4,8788.0,16.863867096548255,2.0656342463553483,0.0018736735644585096
L_chi4,8335.0,16.64311158621656,1.8869299910521955,0.0066856478569766046
L_chi4,7764.0,16.58634941201022,1.6606056122990036,0.0057256880905583426
L_chi4,6912.0,16.193796605089478,1.8900785290964257,0.005673343500971469
L_chi4,6540.0,16.033737570787228,1.8323563286268525,0.0036699270631833326
L_chi4,7609.5,15.987624400606084,1.9044326931729247,0.0024413310057789265
L_chi4,9268.5,15.846186589253302,1.888621137615753,0.0011471675198700757
L_chi4,3286.0,15.70498933427847,1.8330270523096854,0.0028526299381393533
L_chi4,5887.5,15.677631812197742,1.8171626511700458,0.0062900256743832535
L_chi4,8661.5,15.639976209409822,1.899338516201235,0.004201617276043821
L_chi4,4509.5,15.635220391354574,1.9268876545923759,0.00416942983350592
L_chi4,6385.5,15.627651361226498,2.075236940449351,0.0019012778067764695
L_chi4,7392.0,15.626444569070987,1.9450467394414763,0.0021253193441441317
L_chi4,5035.5,15.481885349706348,1.9640563391993937,0.0019873261248499552
L_chi4,3068.5,15.436285295126412,1.9859237434438306,0.004197893554995702
L_chi4,8988.0,15.318066736534913,1.944681684818455,0.006554442855227136
L_chi4,6259.5,15.281972650734394,1.9044576996823825,0.0009737155401695297
L_chi4,5361.5,15.149081897028985,1.8203794961340518,0.0026545584195242144
L_chi4,9033.0,15.145833494493532,1.8391286634999158,0.0037738081949941255
L_chi4,7237.5,14.946966140293654,1.8371355369979747,0.0023951377437179105
L_chi4,8616.0,14.935774491194822,1.9311260740098304,0.001118883067965112
L_chi4,5081.0,14.879558802204173,2.0586459916197297,0.00598940157930591
L_chi4,4092.5,14.682490573799628,2.006790811692953,0.0026065068832073677
L_chi4,5968.5,14.50012618867828,2.007522579767735,0.002030013384070327
L_chi4,4709.5,14.400715625954508,1.7167649361652226,0.0027786528835649026
L_chi4,5407.5,14.377808716980924,1.8878836733937836,0.003521442685049368
L_chi4,5516.0,14.352833761941673,1.8718789857747022,0.0015901647303030984
L_chi4,3857.0,14.340880924710559,1.909543779401564,0.00458744613060542
L_chi4,4383.5,14.255133614711637,2.114726131010281,0.0020525043315082997
