function,name,d,q,GRH,t,abs_S_total,abs_S0,abs_S1,abs_S2,abs_S3,abs_S4,abs_S5,abs_S6,abs_S7,log_abs_S0,log_abs_S1,log_abs_S2,log_abs_S3,log_abs_S4,log_abs_S5,log_abs_S6,log_abs_S7,pc1_complex,H_complex
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,14309.330000015678,11.43900822040959,1.0,3.2147280042683164,4.827870557300943,2.4252211357768285,0.5310454619829177,0.04932957533135607,0.0031670583451374624,0.0,0.0,1.1677427520167873,1.5744054920434207,0.8859227102429535,-0.6329076456179816,-3.009231472503404,-5.754952088754328,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,13547.590000012906,11.316055078275072,1.0,3.0532795584461074,4.015867396928294,2.6785249457628946,0.7564517731439633,0.09520542719396612,0.005042535092720534,0.0,0.0,1.11621627800021,1.3902533631511451,0.9852662496286787,-0.27911649776077535,-2.3517183304697507,-5.2898463287708255,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,10043.300000000158,11.30049816478676,1.0,3.1017902811540186,4.451216744634802,1.6934783529529092,0.9983345843527837,0.18403465398653582,0.006665627177994488,0.0,0.0,1.1319794548460307,1.4931774845647678,0.5267846107628799,-0.0016668039935185594,-1.6926312022229688,-5.010791229554384,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,13638.590000013237,11.299912955268033,1.0,3.137485289824088,4.198031428003586,2.4245712037117824,0.6295600181327099,0.06275666067053244,0.0014616100890309006,0.0,0.0,1.1434216159446287,1.434615707793378,0.8856546855427432,-0.46273408749654227,-2.7684905604594037,-6.5282166501938,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,11961.460000007135,11.405442578487158,1.0,3.2674829149252256,5.0427821349169095,4.664758069293859,1.750872008024612,0.1777559669957808,0.002802094799695481,0.0,0.0,1.1840199377115141,1.6179579406775204,1.5400359721385954,0.5601139541298149,-1.7273436412657166,-5.877387998771874,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,17385.710000026866,11.249800983841936,1.0,3.3772820850959415,4.2459830647748005,2.2183175363390815,0.840637721402671,0.05672553898480816,0.003202344028869823,0.0,0.0,1.2170712691840448,1.4459733747603454,0.7967490420442553,-0.17359448303932193,-2.869530746645936,-5.743872228308428,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,12653.870000009654,11.282845086378384,1.0,3.0728973853017214,4.4017878154522405,2.685884744767838,0.476974522765579,0.043506311084710016,0.0024436510584661267,0.0,0.0,1.122620890238621,1.4820107800916011,0.9880101875630667,-0.7402922009131512,-3.1348492690038063,-6.014262022634436,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,11054.730000003838,11.307344482337946,1.0,3.51137700651584,4.08128471515865,2.5707368628076424,0.5426487562806339,0.0640255554220421,0.0038966037326807032,0.0,0.0,1.2560082700931763,1.406411820017736,0.9441925748574265,-0.6112930260292845,-2.748472971853472,-5.547649943020209,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,13248.460000011817,11.273643492356388,1.0,2.9496681999714505,4.2472387430663625,2.36613202794677,0.693272465225725,0.06271715931867468,0.0001841895069118597,0.0,0.0,1.081692689440039,1.4462690642711389,0.861256566174616,-0.3663321893485177,-2.769120195440887,-8.599545401499338,-690.7755278982137,0.9406531374326456,0.2596092239156882
F15,L(Delta x chi5_quartic),2,25,expected_True_automorphic,19639.57000003507,11.173187823570219,1.0,3.0514751521488677,4.447581342835293,3.0459798305871213,0.7037986297166999,0.05321045197138943,0.003413668436140673,0.0,0.0,1.115625130137494,1.4923604299544668,1.113822632844718,-0.3512630010748086,-2.9335004363037616,-5.6799677782071125,-690.7755278982137,0.9406531374326456,0.2596092239156882
