function_class,peak_t,N,D_magnitude,R_comp
L_DH,4113.506839467131,5000000,10.914210572408336,4.8493119818859056e-05
L_DH,4113.506839467131,10000000,10.91386987585393,8.168632561739384e-05
L_DH,2612.6928502410815,10000,10.863771626029813,0.010526277366351125
L_DH,2612.6928502410815,20000,10.858718132608079,0.011760730211272412
L_DH,2612.6928502410815,50000,10.86085081618643,0.00540479159429559
L_DH,2612.6928502410815,100000,10.864124014948956,0.0028700526418660045
L_DH,2612.6928502410815,200000,10.866158752295048,0.0021511005031553568
L_DH,2612.6928502410815,500000,10.865548317032387,0.0007104120473620382
L_DH,2612.6928502410815,1000000,10.864690691117666,0.0005521372574815246
L_DH,2612.6928502410815,2000000,10.863931239805263,0.00043170891252483195
L_DH,2612.6928502410815,5000000,10.86410261039061,0.00019541599046193268
L_DH,2612.6928502410815,10000000,10.864307387292406,9.118853244084572e-05
L_DH,2798.248034363575,10000,10.576232769111089,0.009292097580400515
L_DH,2798.248034363575,20000,10.581520105762284,0.010063622356656258
L_DH,2798.248034363575,50000,10.58068033598888,0.006077874567370892
L_DH,2798.248034363575,100000,10.585449625614824,0.0028932840664449046
L_DH,2798.248034363575,200000,10.5832868952208,0.0016610005861319177
L_DH,2798.248034363575,500000,10.583731459873405,0.0008569519546526865
L_DH,2798.248034363575,1000000,10.582356236826074,0.0006682397032359609
