function,T0,sigma,J,X,lambda_min,trace_M_zeros,trace_M_arith,trace_residual,trace_residual_rel,abs_lambda_min,lambda_over_tr,reliable,rho_RvM,tr_over_J,H1_rel_err,source,tr_Mz,tr_Ma,n_zeros_used
Lchi,60.0,1.0,20,50000000,-4.496240630548244e-13,11.999197738479676,11.999197738478276,1.3997691894473974e-12,1.1665523145422814e-13,4.496240630548244e-13,3.7471177061525174e-14,True,0.6152779552481787,0.5999598869239838,0.0248961760998185,r12_sigma1_X5e7,,,
Lchi,60.0,1.0,24,50000000,-3.941494212575101e-10,14.411346501551794,14.411346500452318,1.099476065746785e-09,7.629238986297324e-11,3.941494212575101e-10,2.7349937163405837e-11,True,0.6152779552481787,0.6004727708979914,0.0240625951635394,r12_sigma1_X5e7,,,
Lchi,60.0,1.0,28,50000000,-1.3057667658870686e-07,17.178590165364707,17.178589971803124,1.935615827619586e-07,1.1267605833697309e-08,1.3057667658870686e-07,7.601128808112214e-09,False,0.6152779552481787,0.6135210773344538,0.0028554215192323,r12_sigma1_X5e7,,,
Lchi,85.7,1.0,4,50000000,-3.9187077841970686e-14,2.3765374571244733,2.37653745712458,-1.0658141036401505e-13,4.484735136174743e-14,3.9187077841970686e-14,1.6489147993226108e-14,True,0.6720180076184731,0.5941343642811183,0.1158951731269259,r12_sigma1_X5e7,,,
Lchi,85.7,1.0,8,50000000,-4.264824545579729e-14,5.226212708272981,5.226212708273172,-1.909583602355269e-13,3.6538574086975833e-14,4.264824545579729e-14,8.160449609769239e-15,True,0.6720180076184731,0.6532765885341226,0.0278882691711895,r12_sigma1_X5e7,,,
Lchi,85.7,1.0,12,50000000,-5.585023606007607e-14,7.923661022961824,7.923661022962129,-3.0464519795714295e-13,3.8447530387066985e-14,5.585023606007607e-14,7.0485392924089935e-15,True,0.6720180076184731,0.6603050852468186,0.0174294769468503,r12_sigma1_X5e7,,,
Lchi,85.7,1.0,16,50000000,-6.307019414688636e-14,10.96971248035693,10.969712480357334,-4.032330025438569e-13,3.67587576489276e-14,6.307019414688636e-14,5.749484707080873e-15,True,0.6720180076184731,0.6856070300223082,0.0202212176605095,r12_sigma1_X5e7,,,
Lchi,85.7,1.0,20,50000000,-7.39527593772102e-12,13.415230020310783,13.415230020317344,-6.560085807905125e-12,4.890028570492711e-13,7.39527593772102e-12,5.512597194773778e-13,True,0.6720180076184731,0.6707615010155392,0.0018697513886372,r12_sigma1_X5e7,,,
Lchi,85.7,1.0,24,50000000,-5.604541915467039e-09,16.405220023262743,16.405220027585134,-4.3223913337442355e-09,2.6347658413694223e-10,5.604541915467039e-09,3.416316213692807e-10,False,0.6720180076184731,0.6835508343026143,0.0171614845932652,r12_sigma1_X5e7,,,
Lchi,85.7,1.0,28,50000000,-1.4937761323842546e-06,19.1390110188484,19.139012077159915,-1.0583115148676825e-06,5.529603979147306e-08,1.4937761323842546e-06,7.804876285995971e-08,False,0.6720180076184731,0.6835361078160143,0.0171395707659077,r12_sigma1_X5e7,,,
Lchi,120.0,1.0,4,50000000,-4.412610847995065e-14,2.513838481591561,2.513838481591682,-1.2079226507921708e-13,4.8050925293633446e-14,4.412610847995065e-14,1.7553279100100947e-14,True,0.7255957553245046,0.6284596203978903,0.1338708698525567,r12_sigma1_X5e7,,,
Lchi,120.0,1.0,8,50000000,-6.1699688329163e-14,5.541526101135294,5.54152610113552,-2.255973186038318e-13,4.0710323200970516e-14,6.1699688329163e-14,1.1134060762886702e-14,True,0.7255957553245046,0.6926907626419118,0.0453489321583433,r12_sigma1_X5e7,,,
Lchi,120.0,1.0,12,50000000,-7.904120602131924e-14,8.319417217594479,8.319417217594838,-3.588240815588506e-13,4.3130915564612464e-14,7.904120602131924e-14,9.500810447895008e-15,True,0.7255957553245046,0.6932847681328732,0.0445302869463191,r12_sigma1_X5e7,,,
Lchi,120.0,1.0,16,50000000,-9.401417944884509e-14,11.786398083503284,11.786398083503784,-5.027089855502709e-13,4.2651621130452286e-14,9.401417944884509e-14,7.976497890431099e-15,True,0.7255957553245046,0.7366498802189553,0.0152345501104909,r12_sigma1_X5e7,,,
Lchi,120.0,1.0,20,50000000,-3.4024505356930213e-12,14.87259130591186,14.872591305915083,-3.2240876635114546e-12,2.1678049219505405e-13,3.4024505356930213e-12,2.2877321548804656e-13,True,0.7255957553245046,0.743629565295593,0.0248537975019206,r12_sigma1_X5e7,,,
Lchi,120.0,1.0,24,50000000,-2.3962895786480647e-09,17.75639725021974,17.75639725191235,-1.6926087198498863e-09,9.532388220414136e-11,2.3962895786480647e-09,1.3495359136653748e-10,True,0.7255957553245046,0.7398498854258225,0.019644726415114,r12_sigma1_X5e7,,,
Lchi,120.0,1.0,28,50000000,-5.908196769241275e-07,20.455485605449173,20.455485962276427,-3.56827253966685e-07,1.7444086190338555e-08,5.908196769241275e-07,2.8883189982384877e-08,False,0.7255957553245046,0.7305530573374704,0.0068320438434053,r12_sigma1_X5e7,,,
zeta,30.0,1.0,4,1000000000,-5.045159307303034e-15,,,-2.886579864025407e-15,,5.045159307303034e-15,,,,,,r14_sigma1_X1e9,1.0094457644819723,1.0094457644819752,
Lchi,30.0,1.0,4,1000000000,-0.0001488630287953,,,-0.0005343070167809,,0.0001488630287953,,,,,,r14_sigma1_X1e9,4.434862262189144,4.435396569205925,
zeta,30.0,1.0,8,1000000000,-2.6828853301827613e-14,,,-1.4210854715202004e-14,,2.6828853301827613e-14,,,,,,r14_sigma1_X1e9,2.238962755973575,2.2389627559735894,
Lchi,30.0,1.0,8,1000000000,-0.0001633016403901,,,-0.0010758580769287,,0.0001633016403901,,,,,,r14_sigma1_X1e9,8.369125773342455,8.370201631419384,
zeta,30.0,1.0,12,1000000000,-1.0750221849498489e-13,,,-1.0436096431476473e-13,,1.0750221849498489e-13,,,,,,r14_sigma1_X1e9,2.928659260044359,2.9286592600444634,
Lchi,30.0,1.0,12,1000000000,-0.0001755440527946,,,-0.0016248184622948,,0.0001755440527946,,,,,,r14_sigma1_X1e9,12.13040349445735,12.132028312919646,
