orig_index	refined_dps80	seconds
1072	857.91458579775661264590111150460292500147852917656889364504648570708581809482598	7.801
1080	862.89631711112351198204517400915387160024883137505246086503681901875884556305318	7.651
1088	868.57463192494977012833086186716773086312586397803541500239430397361185584969871	8.104
1096	873.35547008040014936479783299590008071319507032817552088644957871005109804219520	7.868
1104	878.34495320851858389256679436138288524762854998357211267107707159078478270404910	8.028
1112	883.70884742989483638413115087632540778217681240452635863143346394919206455027517	8.578
1120	888.74882140316494323350752710881277807118771187267726357453602891110816319630009	8.456
1128	893.70225165337665476664892016294818166036886802408725669180696394500098576309980	8.508
1136	898.58041962619975244943005074233483874242102650428172608601757681378695612663826	8.568
1144	903.97306167805532360777442608469899882007770975063058655694068218302874315215890	8.825
1152	908.61678624130376020824314649382511150779914536390804720775411132895117886140987	8.871
1160	913.92991262332211039208847301658140926903414013266634673006873892665141525346211	9.049
1168	918.86837661701537127551259565270279681215049773354097876456458077272238117917566	9.283
1176	923.85764807831812664513094901207450782640838711363236207011220111202786338154370	13.106
1184	929.08833078269966497362144314091377034081605513557810065493644877066691907169616	9.856
1192	934.02896819714947112182895511647257781418086926245206530086840204640837462460530	9.764
1200	939.15801883364269317495200791517970102746469176058501731738418409089799470167135	9.919
1208	944.07173861432447034993304986073901218889650641393376172288630417509366338903428	9.801
1216	949.14251102141798201468733599861207274220712976103716374278448632036794458989004	9.916
1224	954.05396072324980219829383527323410856966997136292926759030302341058904077272181	9.992
1232	959.03196246732537701864988724549451655728242471218029584103220050927467028267439	10.379
1240	964.00769430095486336654761848253151536781015844286922807667471776177260381928761	10.633
1248	969.20818943401260865017982188029930555353599753723522785769749571871880570510471	10.469
1256	974.20586091479579657687026125139181536134908879110315766702832167500378608904648	10.941
1264	978.73759273105958497112411962512910928138104409984661919165466208126970491402619	10.547
1272	984.18719065524795905720174520483143512144121141598979737902971666799285061084747	10.786
1280	989.12722690853744154398309800319457312796739944526276513315000597217427671648951	11.074
1288	993.75457546192100254780801772833612798348764170290630847124298496719957786187055	11.233
1296	998.73571316762761388092353491435315306992196804504784737971306532457365016206300	11.669
1304	1004.2431109202062641247828797353224744366206596044702765184748389144969433589435	11.397
1312	1008.9669462529981805429546969943109042897563805548092136955226373441180258295592	11.479
1320	1014.0926832004401996748382227355580516409085693360311401704561282475793397930542	11.899
1328	1018.7949183857575343353833984997897418195438523192157985758312960599216369264742	12.027
1336	1023.5422899756151292733412908867184893625210254975027261525165080981894078175655	12.611
1344	1028.7173896148130156019962832422739369278489255236739383860451369889569403264542	12.401
1352	1033.3794576484271481730426774122483269244547787215316198270967683521219404372777	12.425
1360	1038.4984883939160119522192775908012660535134566917283374270912743326065892547874	12.402
1368	1043.3020412173277796757696349090254757685966525271794472920032855897343393180853	12.825
1376	1048.4303439448354951868374075852228063885534937811627375531206564816540544776306	12.731
1384	1053.1510887767202694113624463165270623215943348220892353383534984239011103896380	13.212
1392	1058.1311324684632227698276557071524214573951932054386482966443812253599025777610	13.364
1400	1062.8856219607359891368650176954166767541158686810452001638966504627704968684721	13.428
1408	1068.1016580137174808984107545126684157808953845896363092978090619090150684559705	18.977
1416	1072.7305778428233837530247297014068982496182812091475955241461755314088526878211	13.435
1424	1077.7614676276952295858345806318271475017616693699865036359302558339624395427333	13.623
1432	1082.9286034174150734236716748823313337392175247621269398597871081691381344245022	14.502
1440	1087.2818863939272650964585603081353244864011448069430006613322260231737892570205	14.213
1448	1092.2799013581550258369939074862674300026473717112856315399777940290038628672427	14.516
1	13.907549861392134406446681328770219491757552353514488133240529496565487494434514	0.057
9	32.774875382231207441830455673311989999099161637212597710466222082325082609541492	0.055
17	46.197318753143309595370173978866124985534621120691198110203078430080714192682117	0.070
25	58.580161007914073525028443116973980768617554594526623651876998441496732859860154	0.079
