Function,Peak_Index,t_value,Peak_Magnitude,M_coh,R_comp,CAS,Class
"L(s,χ_4) mod4",25,9365.0,8.626919791672446,1.6389098723777022,0.0174048512363767,4.698965661369485,Multiplicative
"L(s,χ_4) mod4",26,3240.0,8.616931149503703,1.8868485907099484,0.0087381622420461,4.698965661369485,Multiplicative
"L(s,χ_4) mod4",27,5739.0,8.591570596680846,1.630059915966803,0.0154316558599568,4.698965661369485,Multiplicative
"L(s,χ_4) mod4",28,4189.0,8.499145250683883,1.7540243325921006,0.0119383083354742,4.698965661369485,Multiplicative
"L(s,χ_4) mod4",29,8245.0,8.430611715125421,1.916413703269207,0.0243601529732683,4.698965661369485,Multiplicative
"L(s,χ_4) mod4",30,2491.0,8.387938427424112,2.0503064257029235,0.0120719030889278,4.698965661369485,Multiplicative
"L(s,χ_4) mod4",31,8936.0,8.358370279519534,1.5528959353460037,0.0095196030947143,4.698965661369485,Multiplicative
"L(s,χ_4) mod4",32,4493.0,8.341218944409405,2.055117695870021,0.0203189445003898,4.698965661369485,Multiplicative
"L(s,χ_4) mod4",33,9720.0,8.31496655653617,1.9330389174690057,0.0183593610737288,4.698965661369485,Multiplicative
"L(s,χ_4) mod4",34,6305.0,8.250274166548559,2.081444764402311,0.0186415232515746,4.698965661369485,Multiplicative
"L(s,χ_4) mod4",35,6414.0,8.24871672617165,1.7766341052743215,0.0187511835755197,4.698965661369485,Multiplicative
"L(s,χ_4) mod4",36,7609.0,8.2111347903942,1.749894579834924,0.0161758941680609,4.698965661369485,Multiplicative
"L(s,χ_4) mod4",37,9565.0,8.1974261863354,1.7155972051408972,0.0244813501908928,4.698965661369485,Multiplicative
"L(s,χ_4) mod4",38,5391.0,8.167986315565123,2.1531671510328527,0.025348425680272,4.698965661369485,Multiplicative
"L(s,χ_4) mod4",39,4544.0,8.148088578112652,1.7799351016213203,0.0126706805605835,4.698965661369485,Multiplicative
"L(s,χ_4) mod4",40,6746.0,8.147503823279175,1.5159617536774372,0.0139128762250376,4.698965661369485,Multiplicative
"L(s,χ_4) mod4",41,9772.0,8.125660125971521,2.0320999543683507,0.0270154292010804,4.698965661369485,Multiplicative
"L(s,χ_4) mod4",42,6734.0,8.073938630214917,1.7648469851556023,0.0088127698962724,4.698965661369485,Multiplicative
"L(s,χ_4) mod4",43,2530.0,8.037196803667106,2.115633188776469,0.0177855913211115,4.698965661369485,Multiplicative
"L(s,χ_4) mod4",44,5556.0,8.034685102853445,1.7481432003607067,0.022935359207032,4.698965661369485,Multiplicative
"L(s,χ_4) mod4",45,9463.0,8.034624627210007,1.619622202475646,0.0226811567295446,4.698965661369485,Multiplicative
