n,b_zeta_W1,b_delta_W1,b_zeta_W2,b_delta_W2
324,1352.2580598289035,1352.2580598289035,1346.0407790963961,1345.8008146702086
325,1355.093140119876,1355.093140119876,1344.2246289787988,1344.0623974630591
326,1359.431759911367,1359.431759911367,1343.1304672853169,1343.0224063962557
327,1364.5215516831302,1364.5215516831302,1342.9193123520513,1342.8478150540552
328,1369.0049250165264,1369.0049250165264,1343.4246898703902,1343.3774007200325
329,1371.474323876143,1371.474323876143,1344.2243429946113,1344.1930264457474
330,1371.2356229124548,1371.2356229124548,1344.8214268080797,1344.8007938840137
331,1368.675986317908,1368.675986317908,1344.8718753181531,1344.858604087774
332,1364.9022758322044,1364.9022758322044,1344.3535397053176,1344.3455731181193
333,1361.0208360857262,1361.0208360857262,1343.5827792991665,1343.5788893977822
334,1357.653771212626,1357.653771212626,1343.0620462702914,1343.0616039782542
335,1354.8968290767232,1354.8968290767232,1343.2335202872318,1343.2363920916446
336,1352.5470668667874,1352.5470668667874,1344.252608784604,1344.259109318676
337,1350.367002105456,1350.367002105456,1345.8767722542054,1345.887628754956
338,1348.2603777919549,1348.2603777919549,1347.5257679246272,1347.5420970888688
339,1346.3332755150936,1346.3332755150936,1348.5160139422346,1348.539373828876
340,1344.8470020907173,1344.8470020907173,1348.3861753123606,1348.4188117342367
341,1344.078040837113,1344.078040837113,1347.14602685869,1347.191431110494
