n,a_zeta_W1,a_delta_W1,a_zeta_W2,a_delta_W2
198,2742.10790616456,2742.10790616456,2746.6156679226874,2746.6156681073285
199,2742.9460790381,2742.9460790381,2746.2207122033774,2746.2207120637436
200,2743.6343789788766,2743.6343789788766,2745.657473701684,2745.6574736658445
201,2744.1209472125706,2744.1209472125706,2745.0512037609187,2745.0512039352584
202,2744.393024312919,2744.393024312919,2744.538198247493,2744.538198100311
203,2744.4732945109495,2744.4732945109495,2744.242131722177,2744.242131704815
204,2744.4117521203184,2744.4117521203184,2744.2511945114534,2744.2511946741624
205,2744.275716130312,2744.275716130312,2744.6012909621386,2744.6012908092625
206,2744.139494809882,2744.139494809882,2745.2687415400633,2745.2687415402393
207,2744.0741291793315,2744.0741291793315,2746.173205416942,2746.1732055672187
208,2744.137329421281,2744.137329421281,2747.1892578708635,2747.1892577146136
209,2744.3643084763994,2744.3643084763994,2748.164102110667,2748.1641021259657
210,2744.7612228807466,2744.7612228807466,2748.9391491676283,2748.9391493053595
211,2745.3034347395173,2745.3034347395173,2749.3737491997285,2749.3737490421263
212,2745.9400183509765,2745.9400183509765,2749.369245815181,2749.3692458434375
213,2746.6038610925525,2746.6038610925525,2748.8904637633923,2748.890463888369
214,2747.224396173636,2747.224396173636,2747.9803110018265,2747.9803108442106
215,2747.7389131267914,2747.7389131267914,2746.762460293804,2746.762460334663
216,2748.0992955708343,2748.0992955708343,2745.4280484818332,2745.428048593048
217,2748.2734251981383,2748.2734251981383,2744.2054103983187,2744.2054102418633
218,2748.243004022145,2748.243004022145,2743.3166796696037,2743.316679723806
219,2748.000948218043,2748.000948218043,2742.930302831189,2742.9303029273824
220,2747.5513114825667,2747.5513114825667,2743.1218557678058,2743.121855614094
221,2746.91310576026,2746.91310576026,2743.8547229121273,2743.8547229789892
222,2746.1269503600224,2746.1269503600224,2744.986645367421,2744.986645448473
223,2745.260982754264,2745.260982754264,2746.300132089127,2746.300131939715
224,2744.411046942971,2744.411046942971,2747.5480887816393,2747.548088858264
225,2743.691136816567,2743.691136816567,2748.503361069597,2748.5033611367535
226,2743.213919364278,2743.213919364278,2749.0020562308378,2749.0020560867083
227,2743.0664463928606,2743.0664463928606,2748.973570739605,2748.9735708231347
228,2743.2896217759794,2743.2896217759794,2748.453437687332,2748.453437741683
229,2743.8688364929276,2743.8688364929276,2747.577667556719,2747.5776674186964
230,2744.737826029536,2744.737826029536,2746.559168776414,2746.5591688657755
231,2745.7919566381565,2745.7919566381565,2745.6484981535828,2745.648498195097
