Lag,Riemann_zeta_ACF,L_chi5_ACF,Validated_L_DH_ACF
102,0.99898,-0.2497625,-0.00512
103,0.99897,-0.249725,-0.00025
104,0.99896,-0.2497375,-0.00394
105,0.99895,0.99895,-0.03233
106,0.99894,-0.2497375,0.00282
107,0.99893,-0.24975,0.00033
108,0.99892,-0.2497125,0.00308
109,0.99891,-0.249725,-0.00155
110,0.9989,0.9989,-0.0068
111,0.99889,-0.249725,0.00091
112,0.99888,-0.2497375,-0.0018
113,0.99887,-0.2497,-0.00017
114,0.99886,-0.2497125,0.0016
115,0.99885,0.99885,0.00335
116,0.99884,-0.2497125,0.00728
117,0.99883,-0.249725,0.00387
118,0.99882,-0.2496875,0.00428
119,0.99881,-0.2497,0.00139
120,0.9988,0.9988,0.00598
121,0.99879,-0.2497,0.00259
122,0.99878,-0.2497125,-0.00056
123,0.99877,-0.249675,0.00275
124,0.99876,-0.2496875,0.00264
125,0.99875,0.99875,-0.00065
