t,function,GRH_label,feat_xi,feat_A_log_peak,feat_B_curvature,feat_C_roughness,q,d,norm_amplitude,norm_curvature,norm_roughness,norm_xi
51338.44000006684,F7,1,0.1706099142888822,2.0176404756156674,2.0078744782206,5.827903543000003,7,1,1.787261534239437,0.48440462687995167,1.4059959782650826,0.1706099142888822
51573.34000006722,F7,1,0.1706099142888822,2.01956173120631,1.9687290792194287,5.603040729979175,7,1,1.7888382215089733,0.4746219105236236,1.3507830630808668,0.1706099142888822
51710.14000006744,F7,1,0.1706099142888822,1.8927716784038384,1.9765729936744976,5.044000582460458,7,1,1.6764651588472297,0.4763157132183077,1.2155062032097472,0.1706099142888822
52190.29000006821,F7,1,0.1706099142888822,1.9035863934310908,1.8338477460527915,4.930466358194147,7,1,1.6858053315294608,0.44128419434442995,1.1864326683069066,0.1706099142888822
52642.81000006895,F7,1,0.1706099142888822,1.915434677410868,2.015436832622214,5.329348595455337,7,1,1.6960740653568513,0.4843274412675759,1.2806899859528662,0.1706099142888822
53631.01000007054,F7,1,0.1706099142888822,1.9255839702520408,1.8617942444212967,4.991264329807719,7,1,1.704576665295284,0.4461102830852489,1.19597229919246,0.1706099142888822
53775.55000007078,F7,1,0.1706099142888822,1.9473286679561272,2.154733489317285,5.685422948124154,7,1,1.7237548374740956,0.5160859231733076,1.3617307037554032,0.1706099142888822
53895.34000007097,F7,1,0.1706099142888822,1.908298608925612,1.8226537053323144,4.7188833252956845,7,1,1.6891485013776004,0.4363973415418199,1.1298405902231425,0.1706099142888822
54809.470000072455,F7,1,0.1706099142888822,1.9991749765682367,2.1431762685691744,6.066458958466023,7,1,1.7691350629454643,0.5117984251203889,1.4486928520691449,0.1706099142888822
55216.18000007311,F7,1,0.1706099142888822,1.952037470955236,2.022317666413965,5.345269151912914,7,1,1.7272271915379336,0.48238208050035125,1.275003476039601,0.1706099142888822
55742.68000007396,F7,1,0.1706099142888822,2.0383956021393144,1.97365013304861,5.802579349958127,7,1,1.803379463866421,0.47007970297362695,1.3820457494641663,0.1706099142888822
55816.30000007408,F7,1,0.1706099142888822,1.908608663088288,2.228170569053102,5.667324573718965,7,1,1.6885223987408697,0.5305920395456855,1.3495543591237802,0.1706099142888822
56604.97000007535,F7,1,0.1706099142888822,1.9453174369146895,1.9949170444661488,5.350450769989344,7,1,1.720631578858064,0.4740140282680024,1.2713254065213437,0.1706099142888822
56714.68000007553,F7,1,0.1706099142888822,1.9215381958397784,2.153567617761581,5.542743954585763,7,1,1.699548934356178,0.5115574387449738,1.3166207913054662,0.1706099142888822
57457.00000007673,F7,1,0.1706099142888822,1.8975183983483237,2.0280698036672966,5.18858387582856,7,1,1.677973267535164,0.4807764018637031,1.2300112560613377,0.1706099142888822
