Function,Type,t_value,N,R_comp
Liouville,Random,4802.857225639665,1000000,0.5527927638483395
Liouville,Random,4802.857225639665,3000000,0.5458823036149465
Liouville,Random,4802.857225639665,10000000,0.42547428700686823
Liouville,Random,3927.9757672456203,10000,0.5898526379976606
Liouville,Random,3927.9757672456203,30000,0.2561220366620526
Liouville,Random,3927.9757672456203,100000,0.032803021080746675
Liouville,Random,3927.9757672456203,300000,0.2813319645953255
Liouville,Random,3927.9757672456203,1000000,0.34094497319929246
Liouville,Random,3927.9757672456203,3000000,0.5430163003950282
Liouville,Random,3927.9757672456203,10000000,0.34539599712632035
Liouville,Random,3394.6339367881465,10000,0.5028516311771404
Liouville,Random,3394.6339367881465,30000,0.8577018903643492
Liouville,Random,3394.6339367881465,100000,0.72367719648515
Liouville,Random,3394.6339367881465,300000,0.7118376728288088
Liouville,Random,3394.6339367881465,1000000,0.4757254364956758
Liouville,Random,3394.6339367881465,3000000,0.48265447179295623
Liouville,Random,3394.6339367881465,10000000,0.11014251610932614
Liouville,Random,1624.0745617697462,10000,0.32028001290158326
Liouville,Random,1624.0745617697462,30000,0.1838708043898174
Liouville,Random,1624.0745617697462,100000,0.10787283749934432
Liouville,Random,1624.0745617697462,300000,0.048449486300123454
Liouville,Random,1624.0745617697462,1000000,0.026971392552442502
Liouville,Random,1624.0745617697462,3000000,0.2099415375523188
Liouville,Random,1624.0745617697462,10000000,0.15819973649849506
Liouville,Random,1623.9780813448106,10000,0.22526669038036778
Liouville,Random,1623.9780813448106,30000,0.15806805517093325
Liouville,Random,1623.9780813448106,100000,0.23233335910804848
Liouville,Random,1623.9780813448106,300000,0.10221724488971021
Liouville,Random,1623.9780813448106,1000000,0.037143126171412244
Liouville,Random,1623.9780813448106,3000000,0.1188295534007271
Liouville,Random,1623.9780813448106,10000000,0.2500810151437554
Liouville,Random,1232.3344486727979,10000,0.589509817201531
Liouville,Random,1232.3344486727979,30000,0.501224463634289
Liouville,Random,1232.3344486727979,100000,0.6147230583329508
Liouville,Random,1232.3344486727979,300000,0.6552827079704195
Liouville,Random,1232.3344486727979,1000000,0.4563606993354064
Liouville,Random,1232.3344486727979,3000000,0.5580553011004142
Liouville,Random,1232.3344486727979,10000000,0.41548922301398755
Liouville,Random,4464.704583099741,10000,0.7638983621066179
Liouville,Random,4464.704583099741,30000,0.9946569075268809
Liouville,Random,4464.704583099741,100000,0.8451561652782198
Liouville,Random,4464.704583099741,300000,0.41293913902667967
Liouville,Random,4464.704583099741,1000000,0.36451434958620493
Liouville,Random,4464.704583099741,3000000,0.22071570681062072
Liouville,Random,4464.704583099741,10000000,0.21827151884949264
Liouville,Random,3404.4600469728352,10000,0.134241424107093
Liouville,Random,3404.4600469728352,30000,0.3167521245113454
Liouville,Random,3404.4600469728352,100000,0.1256500889281758
Liouville,Random,3404.4600469728352,300000,0.3279217965384519
Liouville,Random,3404.4600469728352,1000000,0.286409004153029
Liouville,Random,3404.4600469728352,3000000,0.06110935064031908
Liouville,Random,3404.4600469728352,10000000,0.12469815291593891
Liouville,Random,3832.290311184182,10000,0.23010059328943325
Liouville,Random,3832.290311184182,30000,0.11373529693001888
Liouville,Random,3832.290311184182,100000,0.35517448608359825
Liouville,Random,3832.290311184182,300000,0.08909040916847868
Liouville,Random,3832.290311184182,1000000,0.29715143968423496
Liouville,Random,3832.290311184182,3000000,0.36959917597502684
Liouville,Random,3832.290311184182,10000000,0.42904014777950367
