r_center,obs_count_riemann,gue_count_N1000,gue_count_N600,z_obs_vs_GUE_N1000,surmise_density
4.01,422,175,493,-1.641401521995947,0.02277641793481562
4.03,435,185,476,-1.969718778619868,0.022409820667176315
4.050000000000001,437,153,449,0.2323906438339098,0.022050423874341092
4.07,421,148,437,0.18579929195394954,0.021698062243618917
4.09,424,144,407,0.5418318803414017,0.021352574760979345
4.109999999999999,400,158,447,-1.0518583801944654,0.02101380458767043
4.13,400,128,418,1.1011960446422573,0.020681598940652895
4.15,402,142,435,0.13275493369152652,0.020355808976726734
4.17,375,156,417,-1.5821690126849355,0.020036289680230527
4.1899999999999995,398,174,435,-2.207277407254562,0.019722899754197488
4.21,356,168,410,-2.9655532005053584,0.019415501514856243
4.23,336,132,394,-0.9091483413968817,0.019113960789368088
4.25,344,153,412,-2.242255048378796,0.01881814681669577
4.27,381,119,355,1.29615750702123,0.018527932151502568
4.29,340,132,367,-0.7951505614337053,0.018243192570983797
4.3100000000000005,339,125,386,-0.28650413538061015,0.01796380698453595
4.33,337,135,370,-1.1085902715001834,0.017689657346171905
4.35,333,135,358,-1.223924687420827,0.017420628569593654
4.37,345,113,377,0.8166902948630623,0.017156608445837142
4.390000000000001,324,124,373,-0.6365289518627617,0.01689748756340635
4.41,298,123,304,-1.3331646606962215,0.01664315923081651
4.43,319,105,348,0.742949411061657,0.01639351940146945
4.45,300,140,342,-2.6018334166817,0.01614846660078605
4.470000000000001,328,123,342,-0.44301948050453027,0.015907901855523723
4.49,312,128,292,-1.30328343834467,0.01567172862520894
4.51,293,111,330,-0.5116984305646871,0.015439852735617291
4.53,290,115,323,-0.9325074670587846,0.015212182314235915
4.550000000000001,266,107,281,-1.0225968070831302,0.01498862772764508
4.57,258,108,307,-1.3698565204984692,0.01476910152075789
4.59,295,117,309,-0.9419122569103109,0.014553518357859155
4.61,273,119,278,-1.7992063617533427,0.014341794965386472
4.63,277,112,285,-1.0915064524409472,0.014133850076398332
4.65,266,111,307,-1.3615422756596929,0.013929604376675833
4.67,289,95,282,0.7179644388398219,0.01372898045240674
4.6899999999999995,257,89,295,0.2664866695798469,0.013531902739401767
4.71,224,109,265,-2.642293482117084,0.013338297473795103
4.73,236,98,260,-1.2393749260973008,0.013148092644182567
4.75,222,87,281,-0.7188730289324584,0.012961217945152263
4.77,237,118,266,-2.944887198234985,0.012777604732164254
4.79,246,97,254,-0.8097474597417527,0.01259718597773715
4.8100000000000005,214,89,258,-1.1929522235575858,0.01241989622890084
4.83,212,96,251,-1.9181726679783215,0.012245671565876
4.85,189,102,234,-3.367923686114865,0.012074449561942233
4.87,225,70,236,1.0233506073650889,0.011906169244458087
4.890000000000001,210,97,226,-2.084984327841937,0.011740771056997303
4.91,230,80,230,0.21870820816046566,0.011578196822566722
4.93,217,98,227,-1.9165942591202996,0.01141838970787263
4.95,229,85,271,-0.28814110746342964,0.011261294188603253
4.970000000000001,204,81,204,-0.7922127283882294,0.011106856015696229
4.99,199,92,232,-2.0372938199089923,0.010955022182560828
