t,R_comp
5677.0,1.4489996478443442e-06
5678.0,5.369120955464068e-06
5679.0,1.2670503321455827e-06
5680.0,1.7535355675878394e-06
5681.0,3.353906331309416e-06
5682.0,3.355485504330809e-06
5683.0,1.851082171178905e-06
5684.0,3.6990142370801174e-06
5685.0,2.2350504695433613e-06
5686.0,1.0596380124721622e-06
5687.0,9.65295532922924e-07
5688.0,1.9897857694376004e-06
5689.0,2.4650434426373304e-06
5690.0,8.81837387250299e-07
5691.0,8.723376648506841e-07
5692.0,5.818958622806974e-06
5693.0,1.210155592260054e-06
5694.0,2.9378232330596874e-06
5695.0,4.904708984919716e-07
5696.0,1.3147681956812053e-06
5697.0,9.914047804672781e-07
5698.0,5.315377390117409e-06
5699.0,3.218754345997851e-06
5700.0,7.547561710052337e-07
5701.0,1.5960963282304104e-06
5702.0,1.592409311957996e-06
5703.0,2.2586576264780085e-06
5704.0,3.1375831505207384e-06
5705.0,2.7257858119026768e-06
5706.0,9.90963561566926e-07
5707.0,4.3233137554485385e-06
5708.0,3.341741307163768e-06
5709.0,2.392536336819109e-06
5710.0,7.830018185283881e-07
5711.0,1.1270201323754649e-06
5712.0,3.3160183064203446e-06
5713.0,3.88092921201963e-06
5714.0,1.2755208299846366e-06
5715.0,4.969240823945214e-07
5716.0,6.263059085980078e-07
5717.0,7.768046711728289e-07
5718.0,4.894310373068288e-07
5719.0,8.071675172921498e-07
5720.0,3.3297239444428975e-06
5721.0,1.8823876075516412e-06
5722.0,4.540730204914621e-06
5723.0,2.0083322946695863e-06
5724.0,2.1852153249912525e-06
5725.0,1.3179143160662938e-06
5726.0,1.792129808727684e-06
5727.0,3.84181486724563e-07
5728.0,5.8947795166297195e-06
5729.0,2.2534782209204375e-06
5730.0,8.725769722140781e-07
5731.0,4.687445603498191e-07
5732.0,1.139562356108846e-06
5733.0,2.198790107113367e-06
5734.0,1.3838331660762463e-06
5735.0,1.2446768889136901e-06
5736.0,1.2284780185080794e-06
5737.0,1.9835706785887346e-06
5738.0,3.7676717868097765e-06
5739.0,2.7269371373594537e-06
5740.0,6.766912865263637e-07
5741.0,4.805244755748082e-06
5742.0,2.4366332195390175e-06
5743.0,1.4452338873630188e-06
5744.0,5.343624886657168e-06
5745.0,9.190956981964178e-07
5746.0,2.7852665830186646e-06
5747.0,1.873299384483081e-06
5748.0,3.3651984721628175e-06
5749.0,8.87114442618937e-07
5750.0,5.039473688923027e-07
5751.0,2.90865315165831e-06
5752.0,1.526279195465146e-06
5753.0,1.5798397854711308e-06
5754.0,3.5218675060952423e-06
5755.0,5.201938872129756e-07
5756.0,5.10212710698088e-06
5757.0,1.1191704870267156e-06
5758.0,3.0736452931771616e-06
5759.0,2.909802738707213e-06
5760.0,3.0268149831833752e-06
5761.0,6.686174114179743e-07
5762.0,1.190724439335424e-06
5763.0,9.440532547642912e-07
5764.0,1.3674919113661141e-06
5765.0,3.0164888043231806e-06
5766.0,1.2996333632995712e-06
5767.0,9.179768706680383e-07
5768.0,8.780260655669107e-07
5769.0,1.7038399200660883e-06
5770.0,1.606618474250536e-06
5771.0,3.1380135394866106e-06
5772.0,4.494084340808759e-06
5773.0,2.566373961564767e-06
5774.0,3.228969388243634e-06
5775.0,3.1543636987791747e-06
5776.0,3.057412012475403e-06
5777.0,7.47650091715816e-07
5778.0,3.3087087725959294e-06
5779.0,1.9722475487284158e-06
5780.0,7.972724821133617e-07
5781.0,9.960496799753114e-07
5782.0,3.43931684675705e-06
5783.0,5.253580853302822e-07
5784.0,1.942838636998852e-06
5785.0,1.0059200508504572e-06
5786.0,1.3585511934088136e-06
5787.0,2.204496591046826e-06
5788.0,3.5357363862240008e-06
5789.0,4.525022964290717e-06
5790.0,5.709585953035162e-07
5791.0,7.8674735639806e-07
5792.0,1.5054451552102162e-06
5793.0,8.178625663069714e-06
5794.0,1.4728864571881125e-06
5795.0,6.533914012765731e-07
5796.0,2.9436486573952996e-06
5797.0,3.819049637831945e-06
5798.0,8.891844231689903e-07
5799.0,4.482780015658325e-06
5800.0,4.4687553654876644e-07
5801.0,7.224442892166584e-07
5802.0,1.0814831095284043e-06
5803.0,2.287172945779292e-06
5804.0,2.1081240749984215e-06
5805.0,1.5970507126266645e-06
5806.0,1.4881510729591303e-06
5807.0,2.6025333346142713e-06
5808.0,3.5561686213237795e-06
5809.0,2.0128361306832795e-06
5810.0,1.2829101550767887e-06
5811.0,1.614647223619338e-06
5812.0,3.536874369710363e-06
5813.0,1.716124029179552e-06
5814.0,1.1827612952602583e-06
5815.0,1.3852109719454554e-06
5816.0,1.5534228190831101e-06
5817.0,2.0773422482358702e-06
5818.0,1.811497680284892e-06
5819.0,3.5179061993284455e-06
5820.0,9.236036036663015e-07
5821.0,1.7523644920577608e-06
5822.0,3.229035508943343e-06
5823.0,2.1491607923521266e-06
5824.0,2.606369736049765e-06
5825.0,1.9877276710398035e-06
5826.0,1.3514880752239192e-06
5827.0,3.4004450633134045e-06
5828.0,3.2534221652964076e-06
5829.0,1.6808426372675454e-06
5830.0,3.677540104731578e-07
5831.0,1.149524227987735e-06
5832.0,2.031596173433905e-06
5833.0,5.3373659656862255e-06
5834.0,1.0168673929219696e-06
5835.0,1.7689978934195462e-06
5836.0,1.9553814092276576e-06
5837.0,1.9385640757116785e-06
5838.0,2.016963332420919e-06
5839.0,1.860493788524246e-06
5840.0,2.6983957999780338e-06
5841.0,1.5443385679910687e-07
5842.0,6.878752143649397e-07
5843.0,2.0711347749209413e-06
5844.0,1.3966586766427954e-06
5845.0,7.594395381622875e-07
5846.0,5.7541038089080514e-06
5847.0,1.279887830462702e-06
5848.0,1.0304466123734384e-06
5849.0,3.992227554140129e-06
5850.0,1.6914897979119692e-06
5851.0,1.6566316765726964e-06
5852.0,2.0941255206919944e-06
5853.0,9.851228064513225e-07
5854.0,8.999756077102729e-07
5855.0,8.009012244872047e-07
5856.0,2.7688755703770685e-06
5857.0,1.6340687154478251e-06
5858.0,1.3777026749623752e-06
5859.0,4.209815682590035e-07
5860.0,2.160624591888787e-06
5861.0,1.8633534816988146e-06
5862.0,3.3070959286886574e-06
5863.0,1.205431932797712e-06
5864.0,4.3159822348535335e-06
5865.0,1.2426360009441924e-06
5866.0,1.830642282409831e-06
5867.0,3.0447630908658436e-06
5868.0,3.585095632343399e-06
5869.0,4.9226927628581936e-06
5870.0,2.939799586733115e-06
5871.0,1.0933347659331819e-07
5872.0,1.3250672381557914e-06
5873.0,1.3432198149202676e-06
5874.0,1.8555526165064073e-06
5875.0,1.6477635451590382e-06
5876.0,1.927244831879332e-06
5877.0,3.094272901354441e-06
5878.0,2.68173700629262e-06
5879.0,1.7803804814846038e-06
5880.0,3.2886640460018645e-06
5881.0,6.523979651348345e-07
5882.0,2.261008047699066e-06
5883.0,4.4924266265010075e-06
5884.0,2.71058242857372e-06
5885.0,1.9467318009373013e-06
5886.0,4.807903136628338e-07
5887.0,9.74120978306587e-07
5888.0,2.5480786515859045e-06
5889.0,1.5159582806374002e-06
5890.0,1.1244160697414905e-06
5891.0,1.482733039963717e-06
5892.0,4.286854090512894e-06
5893.0,5.1877717234096435e-06
5894.0,2.3319232345475944e-06
5895.0,2.6526652533919044e-06
5896.0,1.4018212240070454e-06
5897.0,1.1451491784434983e-06
5898.0,1.6135576907343925e-06
5899.0,5.700923252863242e-06
5900.0,1.6767433627032624e-06
5901.0,3.115655987207836e-06
5902.0,6.986543270630828e-07
5903.0,1.335503802735205e-06
5904.0,8.09743802833882e-07
5905.0,3.3359350599336437e-07
5906.0,3.856017358218945e-06
5907.0,1.0671957455538635e-06
5908.0,2.5648569863185566e-06
5909.0,1.4030266364489995e-06
5910.0,2.6316190988730203e-06
5911.0,7.418305208183576e-07
5912.0,2.1236636488053788e-06
5913.0,5.747577459710619e-06
5914.0,4.5166193100064875e-06
5915.0,3.6414308970005887e-07
5916.0,1.4043072704027226e-06
5917.0,9.371568199634382e-07
5918.0,1.3822407123625387e-06
5919.0,1.0122665877616805e-06
5920.0,5.1611714897235e-07
5921.0,4.882152033779887e-07
5922.0,5.691208542828394e-07
5923.0,5.683060726030954e-07
5924.0,2.1615191616588908e-06
5925.0,2.3472822061955024e-06
