sigma,t,sigma_str,t_str,absL
0.8305401831923265,4328.560801686058,0.83054018319232652499717237671868979380601755235291,4328.5608016860582882037882382468028395028814559106,1.0376859333729788e-47
0.6119335553870267,4374.596691814453,0.61193355538702668065674962537774809955267149129183,4374.5966918144530984087633476007458255199384529365,1.4530004661253806e-48
0.7672809004540333,4518.571135724372,0.76728090045403324983891138847842072068346661049976,4518.5711357243717870771469365828923369349775914792,5.580988705177575e-48
0.7022212947048582,4563.930592203841,0.7022212947048582211567648749239459707435143258178,4563.930592203841522027204577586839235607036348261,5.09027908917836e-48
0.7633744871140007,4580.937440509471,0.76337448711400068172875448306617013969177932443087,4580.9374405094716314548990035913877298848501573088,4.067586658409715e-49
0.6473259840986472,4609.614091489722,0.64732598409864715508663490478927144656049988045545,4609.6140914897222556788783616413753112368953898122,2.5046743578150993e-48
0.6000518567468526,4623.5673724275475,0.60005185674685261148973525267187985274455028403522,4623.567372427547804852153282668314027847511262692,1.6225745707502488e-48
0.5544472039347915,4704.513230104881,0.55444720393479153202037495334595583489430793978064,4704.5132301048803105796311632666644054522232665696,5.1070809139096646e-48
0.7744497196967637,4735.423941238197,0.77444971969676369574614346341638788664921492170278,4735.4239412381965963594832396763824165173899002672,7.591490557624489e-48
0.6533839850344326,4780.979668283408,0.6533839850344326098823932239825139296603722822129,4780.9796682834072327686051635381462689030086878185,5.1153682057370916e-48
0.5283597874631054,4855.1705221822285,0.52835978746310542750322104438289317432886394201448,4855.1705221822283821292157305427660330988937847807,2.0664126163171685e-48
0.680515799940292,4889.91326209056,0.68051579994029200571853637862794092904821659008212,4889.9132620905599597197641748278013663863802847814,4.5942171406187146e-49
0.5908165826798626,4920.98343218149,0.59081658267986257137256589302717981874286209564761,4920.9834321814894048613983524404168867820301137711,5.627247752537795e-48
0.8551060687493529,4935.617818552427,0.85510606874935289624293802175190183305663656204615,4935.6178185524267055282144049739219471529112483704,1.3072312399517999e-48
0.5976844298454176,4953.428430639688,0.59768442984541763294095742421848600027440897235263,4953.4284306396873548945511978432759383079774523059,3.466849493509311e-48
0.737420947185186,4999.5661784847725,0.73742094718518599119738327296059928988533630688472,4999.5661784847721451583115290675916460471477242578,8.559276710366942e-48
