case	lambda	strength	beta	N	S_N	radius	shellMass	ratio
plant-lam7-b0.30-s10.0	7	10.0	0.30	13	187.139413152857004286789	0.00534360978883262723283995	0.0338384298164864477461793	4.67123066185613084070871
plant-lam7-b0.30-s10.0	7	10.0	0.30	14	84.4860839297356930084374	0.0118362688088569382055888	0.0140105578469864320325939	0.451460665107070567688749
plant-lam7-b0.30-s10.0	7	10.0	0.30	15	120.942935154480909255244	0.00826836225466742543371579	0.00713368200330689159938349	1.43151309102058966947924
plant-lam7-b0.30-s10.0	7	10.0	0.30	16	411.027899615471028692322	0.00243292487185305449640406	0.0102973726682063683317963	3.3985275707957922422403
plant-lam7-b0.30-s10.0	7	10.0	0.30	17	327.730187934528616465789	0.00305129047251445817008557	0.00643049794833706004120352	0.797342925482990501085735
plant-lam7-b0.30-s10.0	7	10.0	0.30	18	348.285095153460977394522	0.00287121101050672625545955	0.00228068543687494962542496	1.06271899256054697086844
plant-lam7-b0.40-s10.0	7	10.0	0.40	6	0.993974274660560359942188	1.00606225482193430977125	0.651790575676577551798529	
plant-lam7-b0.40-s10.0	7	10.0	0.40	7	0.574621069365428166961334	1.74027729457315401402329	0.47754101805582131917764	0.578104568713973783357102
plant-lam7-b0.40-s10.0	7	10.0	0.40	8	0.0229900684230441616030627	43.4970432274854435235356	0.306176112409487181351913	0.0400090940773069907964145
plant-lam7-b0.40-s10.0	7	10.0	0.40	9	5.40103145714213373525042	0.185149819610407050543092	0.895114772530186076356211	234.928898764320084706484
plant-lam7-b0.40-s10.0	7	10.0	0.40	10	10.1059035743415441311	0.0989520622914864459465803	0.795731770859082302868649	1.87110622378950473394039
plant-lam7-b0.40-s10.0	7	10.0	0.40	11	24.391708210583083063616	0.0409975386457812595145709	0.227732433560410282393321	2.41360983024937862833097
plant-lam7-b0.40-s10.0	7	10.0	0.40	12	47.4383288901878909211428	0.0210800005690512269492255	0.0651122685261090555439035	1.9448547219667596651514
plant-lam7-b0.40-s10.0	7	10.0	0.40	13	149.241117027443581820321	0.00670056630449980122019574	0.0295118037459942119397478	3.14600283186435146051208
plant-lam7-b0.40-s10.0	7	10.0	0.40	14	111.084484936139267444896	0.00900215723712347728612988	0.0132198150068612986775539	0.744328956715810528408413
plant-lam7-b0.40-s10.0	7	10.0	0.40	15	151.245952339402282718622	0.00661174718749469679562644	0.00708443692824796632600799	1.36153984443778277936276
plant-lam7-b0.40-s10.0	7	10.0	0.40	16	444.923740783355665157519	0.00224757617617650267328748	0.00800415195796222185120983	2.9417232917739713443894
plant-lam7-b0.40-s10.0	7	10.0	0.40	17	408.845965212332351797794	0.00244590893658606708570901	0.00497586397543285643377602	0.918912451137125381117547
