class,t,logS_0,logS_1,logS_2,logS_3,logS_4,logS_5,logS_6,logS_7
F1,80612.80000025689,0.0,0.5923324621963999,0.8226706072728908,0.7428032887553678,0.5348559646587592,0.4773915297111516,-0.2147077995109081,-2.2082640902089983
F1,80222.70000025547,0.0,0.6639743154814188,0.8861922311173203,0.7906706773507353,0.5446665034288066,0.1086719628696969,-0.8994664581161025,-2.5894704274674623
F1,99004.8000003238,0.0,0.6707509774752896,0.821730736280033,0.7300816781249444,0.6452231301735594,0.22120117127114028,-0.7904468974519172,-2.9211692249072905
F1,70677.50000022075,0.0,0.6662970178385872,0.8963219186116578,0.7343343819231265,0.5262189303330479,0.16331560027940464,-0.6243064426880304,-2.3140293384829036
F1,50626.5000001478,0.0,0.7143241878615693,0.9601182482552207,0.7781392534480841,0.3118200969053946,-0.3105520331990304,-1.442391506487225,-2.9221135937421696
F1,66308.80000020485,0.0,0.622628412557369,0.846666880669432,0.7606164792793428,0.6236678618091474,0.25711922679641275,-0.635607569891654,-2.32326862655739
F1,86050.90000027667,0.0,0.6297865438135151,0.8359057840964881,0.7782251987733091,0.6142551310732449,0.31904179395410504,-0.5254059379381841,-2.5628010760391504
F1,74303.80000023394,0.0,0.6495479952773139,0.9278190965249179,0.7982509102916946,0.3879611209080346,-0.04503843168005179,-1.0814573628507165,-2.915609933243348
F1,89259.90000028834,0.0,0.6155347292462723,0.7982957026468456,0.7268381000630195,0.6644547731603335,0.28452039168799914,-0.6797665873022046,-2.2588954454987427
F1,57551.900000173,0.0,0.6671638781504855,0.8552358061710159,0.7862527484413058,0.5152043959276069,0.2911504028236927,-0.3428640457033279,-2.1545554466756287
F1,86948.90000027994,0.0,0.682780654294292,0.9044059960284726,0.7449436359786603,0.4962300467548728,0.11359375183299047,-0.6214256962569985,-2.742362757525477
F1,73234.30000023005,0.0,0.6001223582521751,0.8850264200704505,0.7727337327969315,0.4373557680337249,0.3680847792411551,-0.3496995272824144,-2.2499816492108446
F1,66725.70000020636,0.0,0.6524396075434827,0.8974163910158515,0.7782145662038402,0.4522355413194469,0.15687895329878412,-0.32380922957496483,-2.1289109229514396
