# M4.1 archimedean Kahler density  Psi(r)=Re psi(1/4+i r/2)-log pi
"# PROVEN: Psi even, strictly increasing on r>0, unique zero r0, Psi~log(r/2pi)->+inf"
"# r0=6.2898359888369  gamma_1=14.1347251417  =>  Psi<0 ONLY on |r|<r0, strictly inside zero-free gap |r|<gamma_1"
r,Psi(r),Psi_prime(r)
54.75,2.16488640129283119,0.0182653480112
55.0,2.16944234392145428,0.0181823191163
55.25,2.17397762347168607,0.018100041676
55.5,2.17849242653383822,0.0180185055343
55.75,2.18298693718210792,0.0179377007176
56.0,2.18746133701961545,0.0178576174303
56.25,2.19191580522243854,0.0177782460509
56.5,2.19635051858267015,0.0176995771284
56.75,2.20076565155052566,0.0176216013781
57.0,2.20516137627552438,0.0175443096786
57.25,2.20953786264676987,0.0174676930675
57.5,2.21389527833235247,0.0173917427384
57.75,2.21823378881789708,0.0173164500374
58.0,2.22255355744427809,0.0172418064599
58.25,2.22685474544452328,0.0171678036472
58.5,2.23113751197992722,0.0170944333836
58.75,2.2354020141753946,0.0170216875933
59.0,2.23964840715403309,0.0169495583371
59.25,2.24387684407101464,0.0168780378102
59.5,2.24808747614672391,0.0168071183387
59.75,2.25228045269921158,0.0167367923774
60.0,2.25645592117597011,0.0166670525067
